,nom,heure,date,etablissement,prix,adresse,commune,geo,Type activite,arrondissement
65,Aquaman et le Royaume perdu,15:25,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
66,Aquaman et le Royaume perdu,16:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
67,Aquaman et le Royaume perdu,18:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
68,Aquaman et le Royaume perdu,19:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
69,Aquaman et le Royaume perdu,20:55,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
70,Aquaman et le Royaume perdu,21:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
71,Soudain seuls,09:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
72,Soudain seuls,11:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
73,Soudain seuls,14:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
74,Soudain seuls,16:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
75,Soudain seuls,19:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
76,Soudain seuls,21:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
77,Chasse gardée,09:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
78,Chasse gardée,11:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
