nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem, Lundi 1er Janvier  18h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-01 18:30:00,18h30
"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Saint-Antoine-des-Quinze-Vingts,Samedi 30 Décembre  16h00,"66 avenue Ledru-Rollin, Paris, France",Paris 12e,unknown,"(2.373429, 48.848937)",,,unknown,unknown,2023-12-30 16:00:00,16h00
Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,Samedi 30 Décembre  18h00,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-30 18:00:00,18h00
Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité, Dimanche 31 Décembre  18h00,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-31 18:00:00,18h00
Robert Millardet,Théâtre de l'Île Saint-Louis,Sam 30 Décembre  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2023-12-30 18:30:00,18h30
Robert Millardet,Théâtre de l'Île Saint-Louis, Dim 31 Décembre  15h00,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2023-12-31 15:00:00,15h00
Clément Rataud,Église Saint-Julien-le-Pauvre,Samedi 30 Décembre  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0,2023-12-30 19:00:00,19h00
Concert du Nouvel An,Maison de la Radio et de la Musique,Samedi 30 Décembre  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2023-12-30 20:00:00,20h00
Concert du Nouvel An,Maison de la Radio et de la Musique, Dimanche 31 Décembre  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2023-12-31 20:00:00,20h00
Alegria Orchestra et solistes,Église Saint-Paul-Saint-Louis,Samedi 30 Décembre  20h30,"99 rue Saint-Antoine, Paris, France",Paris 4e,unknown,"(2.361743, 48.854759)",,,unknown,unknown,2023-12-30 20:30:00,20h30
Chœur et Orchestre Paul Kuentz,Église de la Madeleine,Samedi 30 Décembre  20h30,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown,2023-12-30 20:30:00,20h30
"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Notre-Dame-de-Lorette,Dimanche 31 Décembre  16h00,"18 rue de Châteaudun, Paris, France",Paris 9e,unknown,"(2.339265, 48.876032)",,,unknown,unknown,2023-12-31 16:00:00,16h00
Remi Masunaga,Église Saint-Éphrem,Dimanche 31 Décembre  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-31 16:00:00,16h00
Remi Masunaga,Église Saint-Éphrem, Mardi 2 Janvier  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-02 18:00:00,18h00
Thomas Ospital,Église Saint-Eustache,Dimanche 31 Décembre  17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown,2023-12-31 17:00:00,17h00
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Tour Eiffel,Dimanche 31 Décembre  18h00,"Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown,2023-12-31 18:00:00,18h00
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Tour Eiffel, Lundi 1er Janvier  18h00,"Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown,2024-01-01 18:00:00,18h00
Lise Lienhard,Chapelle Saint-Jean,Dimanche 31 Décembre  18h00,"67 rue Daguerre, Paris, France",Paris 14e,unknown,"(2.32592, 48.835249)",,,unknown,unknown,2023-12-31 18:00:00,18h00
"Orchestre Les Solistes français, Paul Rouger et Sabine Revault d'Allonnes",Sainte-Chapelle - Palais de la Cité,Dimanche 31 Décembre  19h30,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-31 19:30:00,19h30
Lucas Lipari et François Olivier,Église Saint-Eustache,Dimanche 31 Décembre  20h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,22-33 €,"(2.346648, 48.859801)",22.0,33.0,,27.5,2023-12-31 20:00:00,20h00
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Église Saint-Germain-des-Prés,Dimanche 31 Décembre  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2023-12-31 20:30:00,20h30
Ensemble Kaléid,Église Saint-Séverin,Dimanche 31 Décembre  20h30,"2 rue des Prêtres-Saint-Séverin, Paris, France",Paris 5e,unknown,"(2.345268, 48.852264)",,,unknown,unknown,2023-12-31 20:30:00,20h30
"Euromusic Symphonic Orchestra, Chœur Hugues Reiner et solistes",Église Saint-Sulpice,Dimanche 31 Décembre  20h30,"Place Saint-Sulpice, Paris, France",Paris 6e,unknown,"(2.33352, 48.851186)",,,unknown,unknown,2023-12-31 20:30:00,20h30
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,Dim 31 Décembre  20h30,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2023-12-31 20:30:00,20h30
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île, Lun 1er Janvier  16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2024-01-01 16:00:00,16h00
Orchestre Classik Ensemble et David Braccini,Tour Eiffel,Lundi 1er Janvier  16h00,"Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown,2024-01-01 16:00:00,16h00
Orchestre Les Violons de France,Église Saint-Eustache,Lundi 1er Janvier  16h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,22-33 €,"(2.346648, 48.859801)",22.0,33.0,,27.5,2024-01-01 16:00:00,16h00
Quintette Les Virtuoses,Église Saint-Philippe-du-Roule,Lundi 1er Janvier  16h00,"9 rue de Courcelles, Paris, France",Paris 8e,unknown,"(2.310576, 48.873814)",,,unknown,unknown,2024-01-01 16:00:00,16h00
Diane Andersen et invités,L'Accord Parfait,Lundi 1er Janvier  17h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown,2024-01-01 17:00:00,17h00
Concert du Nouvel An,Église de la Madeleine,Lundi 1er Janvier  19h00,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-01-01 19:00:00,19h00
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Lundi 1er Janvier  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-01-01 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Lundi 1er Janvier  21h00,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-01-01 21:00:00,21h00
Orchestre Les Violons de France,Église de la Madeleine,Mardi 2 Janvier  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-02 20:00:00,20h00
Georges Bériachvili,Théâtre de l'Île Saint-Louis,Mer 3 Janvier  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-03 18:30:00,18h30
Georges Bériachvili,Théâtre de l'Île Saint-Louis, Dim 7 Janvier  15h00,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-07 15:00:00,15h00
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,Mercredi 3 Janvier  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2024-01-03 19:00:00,19h00
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Vendredi 5 Janvier  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2024-01-05 19:00:00,19h00
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Samedi 6 Janvier  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2024-01-06 19:00:00,19h00
Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,Mercredi 3 Janvier  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-03 19:00:00,19h00
L'Art d'être bête,Théâtre de Poche-Montparnasse,Mercredi 3 Janvier  19h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2024-01-03 19:00:00,19h00
L'Art d'être bête,Théâtre de Poche-Montparnasse, Jeudi 4 Janvier  19h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2024-01-04 19:00:00,19h00
L'Art d'être bête,Théâtre de Poche-Montparnasse, Dimanche 7 Janvier  15h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2024-01-07 15:00:00,15h00
Philippe Alègre,Église Saint-Julien-le-Pauvre,Jeudi 4 Janvier  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0,2024-01-04 19:00:00,19h00
Pascal Mantin,Église Saint-Éphrem,Jeudi 4 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-04 19:30:00,19h30
« The Fairy Queen » de Purcell,Salle des concerts - Cité de la Musique-Philharmonie,Jeudi 4 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-04 20:00:00,20h00
« The Fairy Queen » de Purcell,Salle des concerts - Cité de la Musique-Philharmonie, Samedi 6 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-06 20:00:00,20h00
Beethoven : Symphonie n°9,Maison de la Radio et de la Musique,Jeudi 4 Janvier  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-04 20:00:00,20h00
Beethoven : Symphonie n°9,Maison de la Radio et de la Musique, Vendredi 5 Janvier  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-05 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Jeudi 4 Janvier  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-04 20:00:00,20h00
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Vendredi 5 Janvier  18h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-05 18:30:00,18h30
Robert Millardet,Théâtre de l'Île Saint-Louis,Ven 5 Janvier  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-05 18:30:00,18h30
Robert Millardet,Théâtre de l'Île Saint-Louis, Sam 6 Janvier  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-06 18:30:00,18h30
Krzysztof Michalski,Église Saint-Éphrem,Samedi 6 Janvier  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-06 16:00:00,16h00
Westbourne Grammar School,Église de la Madeleine,Samedi 6 Janvier  16h00,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown,2024-01-06 16:00:00,16h00
Les Alizés,Couvent des Dominicains,Samedi 6 Janvier  16h00,"222 rue du Faubourg Saint-Honoré, Paris, France",Paris 8e,unknown,"(2.303597, 48.875804)",,,unknown,unknown,2024-01-06 16:00:00,16h00
Remi Masunaga,Église Saint-Éphrem,Samedi 6 Janvier  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-06 18:00:00,18h00
Soline Marzac et Cristian Monti,L'Accord Parfait,Samedi 6 Janvier  20h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown,2024-01-06 20:00:00,20h00
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 6 Janvier  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-01-06 20:30:00,20h30
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 6 Janvier  20h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-06 20:30:00,20h30
Trio Wanderer,Théâtre des Champs-Élysées,Dimanche 7 Janvier  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-01-07 11:00:00,11h00
Duo Métis,Cathédrale américaine,Dimanche 7 Janvier  15h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-01-07 15:00:00,15h00
Roses dans la nuit,Salle des concerts - Cité de la Musique-Philharmonie,Dimanche 7 Janvier  16h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-07 16:00:00,16h00
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Louis-en-l'Île,Dim 7 Janvier  16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2024-01-07 16:00:00,16h00
Robin Stephenson et Jean-Marc Kérisit,Maison de l'Asie du Sud-Est,Dimanche 7 Janvier  16h00,"59 bis boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.334607, 48.821424)",,,unknown,unknown,2024-01-07 16:00:00,16h00
Olivier Périn,Église de la Madeleine,Dimanche 7 Janvier  16h00,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown,2024-01-07 16:00:00,16h00
"Jocelyne Lucas, Daniel Dato et Céline Mata",Église Sainte-Marie-des-Batignolles,Dimanche 7 Janvier  16h00,"77 place du docteur Félix-Lobligeois, Paris, France",Paris 17e,unknown,"(2.317581, 48.886824)",,,unknown,unknown,2024-01-07 16:00:00,16h00
Adrien Polycarpe,Église Saint-Éphrem,Dimanche 7 Janvier  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-07 16:30:00,16h30
Dominique Hofer,Église Notre-Dame-de-Compassion,Dimanche 7 Janvier  16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown,2024-01-07 16:30:00,16h30
Thomas Ospital,Église Saint-Eustache,Dimanche 7 Janvier  17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown,2024-01-07 17:00:00,17h00
La Caravelle des Arts,Temple protestant du Raincy,Dimanche 7 Janvier  17h00,"17 allée de l'Ermitage, Paris, France",Le Raincy,unknown,"(2.391501, 48.86994)",,,unknown,unknown,2024-01-07 17:00:00,17h00
Nathalie Gaubery et Lorenzo Cipriani,Chapelle de l'Agneau de Dieu,Dimanche 7 Janvier  17h00,"2 place Henri-Frenay, Paris, France",Paris 12e,unknown,"(2.37749, 48.844629)",,,unknown,unknown,2024-01-07 17:00:00,17h00
Sextuor de clarinettes de la Garde républicaine et Guillaume Paire,Église du Val-de-Grâce,Dimanche 7 Janvier  17h30,"1 place Alphonse-Laveran, Paris, France",Paris 5e,unknown,"(2.341092, 48.840815)",,,unknown,unknown,2024-01-07 17:30:00,17h30
Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,Dimanche 7 Janvier  18h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-01-07 18:00:00,18h00
Natasha Kadyrova,Église Saint-Éphrem,Lundi 8 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-08 19:30:00,19h30
"Les Frivolités Parisiennes, Golda Schultz, Amitai Pati et Pene Pati",Théâtre des Champs-Élysées,Lundi 8 Janvier  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,33-115 €,"(2.303279, 48.865672)",33.0,115.0,,74.0,2024-01-08 20:00:00,20h00
« Atalia » de Gasparini,Château de Versailles,Lundi 8 Janvier  20h00,"4 boulevard de la Reine, Paris, France",Versailles,71-115 €,"(2.354865, 48.837227)",71.0,115.0,,93.0,2024-01-08 20:00:00,20h00
Quatuor Dutilleux,Musée d'Orsay,Mardi 9 Janvier  12h30,"1 rue de la Légion d'Honneur, Paris, France",Paris 7e,unknown,"(2.32513, 48.860379)",,,unknown,unknown,2024-01-09 12:30:00,12h30
Carl Norgate,Théâtre de l'Île Saint-Louis,Mar 9 Janvier  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-09 18:30:00,18h30
« Iphigénie en Tauride » de Desmarest et Campra,Théâtre des Champs-Élysées,Mardi 9 Janvier  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)",28.0,89.0,,58.5,2024-01-09 19:30:00,19h30
