,Adresse,Arr.,Date D'Ouverture,Nombre De Sièges,Notes,Adresse_complete,Coordonnees
Maison des Métallos,"94, rue Jean-Pierre-Timbaud",11e,,,,"94, rue Jean-Pierre-Timbaud, Paris, France","(2.377852, 48.867731)"
Théâtre de Ménilmontant,"15, rue du Retrait",20e,1957,345,,"15, rue du Retrait, Paris, France","(2.394796, 48.868264)"
Théâtre de la Madeleine,"19, rue de Surène",8e,1924,709,,"19, rue de Surène, Paris, France","(2.320443, 48.870982)"
Théâtre de la Main d'Or,"15, passage de la Main-d'Or",11e,,250,,"15, passage de la Main-d'Or, Paris, France","(2.378097, 48.85241)"
Théâtre de la Manufacture des Abbesses,"7, rue Véron",18e,2006,120,,"7, rue Véron, Paris, France","(2.336711, 48.884393)"
Théâtre Marigny,carré Marigny,8e,1894,1 024 et 311,,"carré Marigny, Paris, France","(2.315462, 48.869995)"
Théâtre des Mathurins,"36, rue des Mathurins",8e,1898,386,,"36, rue des Mathurins, Paris, France","(2.325636, 48.873274)"
Théâtre du Marais,"37, rue Volta",3e,1634,60,,"37, rue Volta, Paris, France","(2.357796, 48.866289)"
Théâtre le Mélo d'Amélie,"4, rue Marie-Stuart",2e,1994,100,Créé après la fermeture du théâtre Marie-Stuart au même endroit,"4, rue Marie-Stuart, Paris, France","(2.348353, 48.865018)"
Théâtre Michel,"38, rue des Mathurins",8e,1908,350,,"38, rue des Mathurins, Paris, France","(2.32546, 48.873287)"
Théâtre de la Michodière,"4 bis, rue de La Michodière",2e,1778,700,,"4 bis, rue de La Michodière, Paris, France","(2.334658, 48.869328)"
Théâtre Mogador,"25, rue de Mogador",9e,1913,1 860,,"25, rue de Mogador, Paris, France","(2.331221, 48.875365)"
Théâtre Montparnasse,"31, rue de la Gaîté",14e,1886,715 et 200,,"31, rue de la Gaîté, Paris, France","(2.323534, 48.839499)"
Théâtre Mouffetard,"73, rue Mouffetard",5e,1934,236,,"73, rue Mouffetard, Paris, France","(2.349834, 48.842211)"
Théâtre des Nouveautés,"24, boulevard Poissonnière",9e,1921,585,,"24, boulevard Poissonnière, Paris, France","(2.344899, 48.871361)"
Théâtre du Nord-Ouest,"13, rue du Faubourg-Montmartre",9e,1997,120 et 80,,"13, rue du Faubourg-Montmartre, Paris, France","(2.343063, 48.872387)"
Théâtre de l'Odéon (théâtre de l'Europe),place de l'Odéon,6e,1782,800,,"place de l'Odéon, Paris, France","(2.338717, 48.849898)"
Théâtre de l'Œuvre,"55, rue de Clichy",9e,1893,326,,"55, rue de Clichy, Paris, France","(2.305376, 48.899318)"
Théâtre national de l'Opéra-Comique,"5, rue Favart",2e,1714,1 100,,"5, rue Favart, Paris, France","(2.33804, 48.871107)"
Théâtre Ouvert,"4 bis, Cité Véron",18e,1971,160,Le théâtre Ouvert est à l'origine une collection de pièces publiées aux Éditions Stock et dirigée par Lucien Attoun,"4 bis, Cité Véron, Paris, France","(2.33216, 48.884562)"
Le Palace,"8, rue du Faubourg-Montmartre",9e,1921,984,,"8, rue du Faubourg-Montmartre, Paris, France","(2.343306, 48.872149)"
Palais des glaces,"37, rue du Faubourg-du-Temple",10e,1876,482 et 80,,"37, rue du Faubourg-du-Temple, Paris, France","(2.368294, 48.86915)"
Dôme de Paris - Palais des Sports,"1, place de la Porte-de-Versailles",15e,1960,2 300 à 4 600,,"1, place de la Porte-de-Versailles, Paris, France","(2.288708, 48.832033)"
Théâtre de Paris,"15, rue Blanche",9e,1891,1 100 et 300,,"15, rue Blanche, Paris, France","(2.331518, 48.878671)"
Théâtre du Palais-Royal,"38, rue de Montpensier",1er,1831,716,,"38, rue de Montpensier, Paris, France","(2.337508, 48.866057)"
Théâtre Paris-Villette,,19e,1986,211,,", Paris, France",
Théâtre de Passy,95 rue de Passy,16e,2021,200,,"95 rue de Passy, Paris, France","(2.275407, 48.858046)"
La Pépinière-Théâtre,7 rue Louis-le-Grand,2e,1919,347,,"7 rue Louis-le-Grand, Paris, France","(2.332236, 48.868598)"
La Petite Loge,"2, rue La Bruyère",9e,,25,,"2, rue La Bruyère, Paris, France","(2.33657, 48.878987)"
Théâtre Pigalle,"10-12, rue Pigalle",9e,1929,,,"10-12, rue Pigalle, Paris, France","(2.332811, 48.878566)"
Théâtre Pixel,"18, rue Championnet",18e,,50,,"18, rue Championnet, Paris, France","(2.351094, 48.89538)"
Salle Pleyel,"252, rue du Faubourg-Saint-Honoré",8e,1927,1 913,,"252, rue du Faubourg-Saint-Honoré, Paris, France","(2.30101, 48.87695)"
Théâtre de Poche-Montparnasse,Impasse Robiquet,6e,1943,95 et 120,,"Impasse Robiquet, Paris, France","(2.325729, 48.843952)"
Théâtre du Point-Virgule,"7, rue Sainte-Croix-de-la-Bretonnerie",4e,1975,100,,"7, rue Sainte-Croix-de-la-Bretonnerie, Paris, France","(2.356931, 48.857828)"
Théâtre de la Porte-Saint-Martin,"16, Boulevard Saint-Martin",10e,1802,1 050,,"16, Boulevard Saint-Martin, Paris, France","(2.356991, 48.868924)"
Théâtre 14 Jean-Marie-Serreau,"20, avenue Marc-Sangnier",14e,1982,,,"20, avenue Marc-Sangnier, Paris, France","(2.306846, 48.825896)"
Théâtre de la Renaissance,"20, boulevard Saint-Martin",10e,1873,650,,"20, boulevard Saint-Martin, Paris, France","(2.356402, 48.869011)"
Théâtre Le Ranelagh,"5, rue des Vignes",16e,1895,350,,"5, rue des Vignes, Paris, France","(2.277741, 48.854572)"
Théâtre du Renard,"12, rue du Renard",4e,,,,"12, rue du Renard, Paris, France","(2.352333, 48.858829)"
Théâtre du Rond-Point des Champs-Élysées,,8e,,,Le bâtiment qui l'abrite depuis 1981 a été construit lors de l'exposition universelle de 1855,", Paris, France",
Salle Richelieu,"1, place Colette",1er,,862,Il s'agit de l'une des trois salles de la Comédie-Française. Les deux autres salles sont le théâtre du Vieux-Colombier et le Studio-Théâtre,"1, place Colette, Paris, France","(2.336271, 48.863335)"
Théâtre Rive gauche,"6, rue de la Gaîté",14e,1994,400,,"6, rue de la Gaîté, Paris, France","(2.324362, 48.84077)"
Théâtre de la Reine Blanche,"2 bis, passage Ruelle",18e,,,,"2 bis, passage Ruelle, Paris, France","(2.358999, 48.886741)"
Théâtre Saint-Georges,"51, rue Saint-Georges",9e,1929,498,,"51, rue Saint-Georges, Paris, France","(2.337392, 48.878145)"
Théâtre Saint-Léon,"11, place du Cardinal-Amette",15e,,,,"11, place du Cardinal-Amette, Paris, France","(2.296852, 48.850574)"
Théâtre Silvia-Monfort,"106, rue Brancion",15e,1972,456 et 120,,"106, rue Brancion, Paris, France","(2.301819, 48.830303)"
Théâtre du Soleil,Route du Champ-de-Manœuvre,12e,1970,,Le théâtre du Soleil est installé à La Cartoucherie de Vincennes,"Route du Champ-de-Manœuvre, Paris, France","(2.450645, 48.835062)"
Splendid Saint-Martin,"48, rue du Faubourg-Saint-Martin",10e,,,,"48, rue du Faubourg-Saint-Martin, Paris, France","(2.356726, 48.87071)"
Studio Théâtre,"99, rue de Rivoli
Place de la Pyramide inversée",1er,,136,Il s'agit de l'une des trois salles de la Comédie-Française. Les deux autres salles sont le théâtre du Vieux-Colombier et la salle Richelieu,"99, rue de Rivoli
Place de la Pyramide inversée, Paris, France","(2.334832, 48.862725)"
Théâtre des Béliers parisiens,"14 bis, rue Sainte-Isaure",18e,,,,"14 bis, rue Sainte-Isaure, Paris, France","(2.344278, 48.89371)"
Théâtre de la Tempête,Route du Champ-de-Manœuvre,12e,1971,,Le théâtre de la Tempête est installé à La Cartoucherie de Vincennes,"Route du Champ-de-Manœuvre, Paris, France","(2.450645, 48.835062)"
