Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
94,12 hommes en colère,Théâtre Hébertot,<b>Du 22 septembre 2023 au 28 janvier 2024</b>,place Colette,Paris 1er,15-42 €,"(48.863335, 2.336271)",15.0,42.0,,28.5
95,Maîtres anciens : Comédie,Théâtre 14,<b>Du 5 décembre 2023 au 23 décembre 2023</b>,place Colette,Paris 1er,unknown,"(48.863335, 2.336271)",,,unknown,unknown
96,Bienvenue à la Caf,La Comédie du Onzième,<b>Du 26 décembre 2023 au 1 avril 2024</b>,place Colette,Paris 1er,10-20 €,"(48.863335, 2.336271)",10.0,20.0,,15.0
97,La Joconde parle enfin,Théâtre de l'Œuvre,<b>Du 15 février 2024 au 31 mars 2024</b>,place Colette,Paris 1er,9-43 €,"(48.863335, 2.336271)",9.0,43.0,,26.0
98,Le Comte de Monte-Cristo,Théâtre L'Essaïon,<b>Du 24 novembre 2023 au 25 février 2024</b>,place Colette,Paris 1er,11-28 €,"(48.863335, 2.336271)",11.0,28.0,,19.5
99,Coupures,Théâtre des Béliers Parisiens,<b>Du 25 août 2023 au 4 janvier 2024</b>,place Colette,Paris 1er,22-40 €,"(48.863335, 2.336271)",22.0,40.0,,31.0
100,Courgette,Théâtre Tristan-Bernard,<b>Du 25 août 2023 au 6 janvier 2024</b>,place Colette,Paris 1er,33-42 €,"(48.863335, 2.336271)",33.0,42.0,,37.5
101,Fabrice Luchini lit Victor Hugo,Théâtre de l'Atelier,<b>Du 22 octobre 2024 au 31 octobre 2024</b>,place Colette,Paris 1er,unknown,"(48.863335, 2.336271)",,,unknown,unknown
102,L'Échange,Théâtre de Poche-Montparnasse,<b>Du 12 septembre 2023 au 31 décembre 2023</b>,place Colette,Paris 1er,28 €,"(48.863335, 2.336271)",,,28.0,28.0
103,La Folle et Inconvenante Histoire des femmes,Le Funambule Montmartre,<b>Du 23 octobre 2023 au 30 janvier 2024</b>,place Colette,Paris 1er,11-33 €,"(48.863335, 2.336271)",11.0,33.0,,22.0
104,Lucrèce Borgia,Comédie-Française - Salle Richelieu,<b>Du 17 janvier 2024 au 1 avril 2024</b>,place Colette,Paris 1er,unknown,"(48.863335, 2.336271)",,,unknown,unknown
105,Un pour tous,Café de la Gare,<b>Le 31 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,29 €,"(48.844567, 2.339549)",,,29.0,29.0
106,Un pour tous,Les Enfants du Paradis,<b>Du 22 décembre 2023 au 5 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,22-33 €,"(48.844567, 2.339549)",22.0,33.0,,27.5
107,Jacques et Chirac,Théâtre de la Contrescarpe,<b>Du 16 août 2023 au 29 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-37 €,"(48.844567, 2.339549)",12.0,37.0,,24.5
108,Cyrano de Bergerac,Théâtre Ranelagh,<b>Du 26 octobre 2023 au 12 mai 2024</b>,95 bd Saint-Michel,Paris 5e,13-44 €,"(48.844567, 2.339549)",13.0,44.0,,28.5
109,L'Os à moelle,Artistic Théâtre,<b>Du 21 octobre 2023 au 31 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,16-50 €,"(48.844567, 2.339549)",16.0,50.0,,33.0
110,Pour le meilleur et pour le dire,Café de la Gare,<b>Du 6 octobre 2023 au 28 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-29 €,"(48.844567, 2.339549)",18.0,29.0,,23.5
111,L'Incroyable Épopée de François 1er,Théâtre de la Contrescarpe,<b>Du 6 novembre 2023 au 26 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-37 €,"(48.844567, 2.339549)",12.0,37.0,,24.5
112,Geli,La Manufacture des Abbesses,<b>Du 26 novembre 2023 au 16 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,11-29 €,"(48.844567, 2.339549)",11.0,29.0,,20.0
113,La Chute,Théâtre de la Contrescarpe,<b>Du 11 septembre 2023 au 27 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-33 €,"(48.844567, 2.339549)",12.0,33.0,,22.5
114,Le Discours de la servitude volontaire,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 novembre 2023 au 23 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,11-24 €,"(48.844567, 2.339549)",11.0,24.0,,17.5
115,Je t'aime à l'italienne et à l'algérienne,La Divine Comédie,<b>Du 30 septembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-42 €,"(48.844567, 2.339549)",18.0,42.0,,30.0
116,An Irish Story (une histoire irlandaise),Théâtre de Belleville,<b>Du 3 décembre 2023 au 30 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
117,Un chapeau de paille d'Italie,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 17 mars 2024</b>,95 bd Saint-Michel,Paris 5e,16-33 €,"(48.844567, 2.339549)",16.0,33.0,,24.5
118,Freud et la femme de chambre,Théâtre Montparnasse,<b>Du 20 janvier 2024 au 7 avril 2024</b>,95 bd Saint-Michel,Paris 5e,16-60 €,"(48.844567, 2.339549)",16.0,60.0,,38.0
119,Le Tartuffe,Comédie Saint-Michel,<b>Du 9 décembre 2023 au 20 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-46 €,"(48.844567, 2.339549)",18.0,46.0,,32.0
120,Sherlock Holmes et l'aventure du diamant bleu,Le Grand Point Virgule,<b>Du 3 décembre 2021 au 27 avril 2024</b>,29 rue de Dunkerque,Paris 10e,21-33 €,"(48.88023, 2.353135)",21.0,33.0,,27.0
121,Je me sens si bien chez vous,Théâtre des Blancs Manteaux,<b>Du 22 décembre 2023 au 29 mars 2024</b>,29 rue de Dunkerque,Paris 10e,20-74 €,"(48.88023, 2.353135)",20.0,74.0,,47.0
122,Together,Théâtre de l'Atelier,<b>Du 16 janvier 2024 au 18 février 2024</b>,29 rue de Dunkerque,Paris 10e,23-45 €,"(48.88023, 2.353135)",23.0,45.0,,34.0
123,Le Père Noël est une ordure,Théâtre du Gymnase,<b>Du 7 octobre 2023 au 6 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,20-26 €,"(48.88023, 2.353135)",20.0,26.0,,23.0
124,L'Enfant de verre,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,29 rue de Dunkerque,Paris 10e,11-24 €,"(48.88023, 2.353135)",11.0,24.0,,17.5
125,J'aime beaucoup ce que vous faites,Théâtre Mélo d'Amélie,<b>Du 1 septembre 2023 au 6 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,11-40 €,"(48.88023, 2.353135)",11.0,40.0,,25.5
126,Le Songe d'une nuit d'été,Théâtre de la Ville - Sarah Bernhardt,<b>Du 16 janvier 2024 au 10 février 2024</b>,29 rue de Dunkerque,Paris 10e,unknown,"(48.88023, 2.353135)",,,unknown,unknown
127,L'Antichambre,Théâtre Ranelagh,<b>Du 8 septembre 2023 au 14 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,13-39 €,"(48.88023, 2.353135)",13.0,39.0,,26.0
128,Le Silence,Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 31 janvier 2024 au 10 mars 2024</b>,29 rue de Dunkerque,Paris 10e,37 €,"(48.88023, 2.353135)",,,37.0,37.0
129,L'Avare,Théâtre Ranelagh,<b>Du 22 octobre 2023 au 27 avril 2024</b>,29 rue de Dunkerque,Paris 10e,13-28 €,"(48.88023, 2.353135)",13.0,28.0,,20.5
130,Les Quatre Sœurs March,Théâtre Ranelagh,<b>Du 19 janvier 2024 au 31 mars 2024</b>,29 rue de Dunkerque,Paris 10e,13-44 €,"(48.88023, 2.353135)",13.0,44.0,,28.5
131,Juste un souvenir,Théâtre de Poche-Montparnasse,<b>Du 23 novembre 2023 au 14 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,24 €,"(48.88023, 2.353135)",,,24.0,24.0
132,Les Desperate Housemen se marient !,Le Grand Point Virgule,<b>Du 15 septembre 2023 au 30 mars 2024</b>,29 rue de Dunkerque,Paris 10e,11-69 €,"(48.88023, 2.353135)",11.0,69.0,,40.0
133,Ma version de l'histoire,Théâtre Michel,<b>Du 10 janvier 2024 au 30 mars 2024</b>,29 rue de Dunkerque,Paris 10e,17-51 €,"(48.88023, 2.353135)",17.0,51.0,,34.0
134,Rose Valland : Sauver un peu de la beauté du monde,Théâtre La Boussole,<b>Du 19 octobre 2023 au 13 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,11-40 €,"(48.88023, 2.353135)",11.0,40.0,,25.5
135,La Cantatrice chauve,Théâtre de la Huchette,<b>Du 16 février 1957 au 13 juillet 2024</b>,95 bd Saint-Michel,Paris 5e,23 €,"(48.844567, 2.339549)",,,23.0,23.0
136,On a essayé de monter Hamlet,Théâtre Edgar,<b>Du 30 septembre 2023 au 11 mai 2024</b>,95 bd Saint-Michel,Paris 5e,13-49 €,"(48.844567, 2.339549)",13.0,49.0,,31.0
137,Camus par Enthoven,Le Théâtre Libre,<b>Du 4 octobre 2023 au 5 février 2024</b>,95 bd Saint-Michel,Paris 5e,32 €,"(48.844567, 2.339549)",,,32.0,32.0
138,Culottées,Comédie-Française - Studio-Théâtre,<b>Du 25 janvier 2024 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
139,Sentinelles,Théâtre du Rond-Point,<b>Du 30 janvier 2024 au 10 février 2024</b>,95 bd Saint-Michel,Paris 5e,42 €,"(48.844567, 2.339549)",,,42.0,42.0
140,Les Entretiens d'embauche,Théâtre Le Bourvil,<b>Du 15 juin 2023 au 31 mars 2024</b>,95 bd Saint-Michel,Paris 5e,13-41 €,"(48.844567, 2.339549)",13.0,41.0,,27.0
141,Ados,Le Grand Point Virgule,<b>Du 30 septembre 2023 au 26 mai 2024</b>,95 bd Saint-Michel,Paris 5e,15-35 €,"(48.844567, 2.339549)",15.0,35.0,,25.0
142,Les Fous alliés,Théâtre du Marais,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,16-22 €,"(48.844567, 2.339549)",16.0,22.0,,19.0
143,Le meilleur de l'homme c'est... sa femme,Théâtre Le Passage vers les Étoiles,<b>Du 1 juillet 2023 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,13-55 €,"(48.844567, 2.339549)",13.0,55.0,,34.0
144,Vel d'Hiv,Théâtre Antoine,<b>Du 10 janvier 2024 au 18 février 2024</b>,95 bd Saint-Michel,Paris 5e,21-50 €,"(48.844567, 2.339549)",21.0,50.0,,35.5
145,Le Vertige,Théâtre de la Madeleine,<b>Du 1 février 2024 au 10 mars 2024</b>,95 bd Saint-Michel,Paris 5e,16-48 €,"(48.844567, 2.339549)",16.0,48.0,,32.0
146,Les Contes du chat perché : Le Chien,Comédie-Française - Studio-Théâtre,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
147,Ferme bien ta gueule,Théâtre Lepic,<b>Du 20 septembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,24-42 €,"(48.844567, 2.339549)",24.0,42.0,,33.0
148,L'Odeur de la guerre,La Scala Paris,<b>Du 12 octobre 2023 au 17 mars 2024</b>,95 bd Saint-Michel,Paris 5e,20-25 €,"(48.844567, 2.339549)",20.0,25.0,,22.5
149,L'Homme de ses rêves,Comédie Saint-Michel,<b>Du 8 septembre 2023 au 7 mai 2024</b>,95 bd Saint-Michel,Paris 5e,22-46 €,"(48.844567, 2.339549)",22.0,46.0,,34.0
150,Gisèle Halimi : Une farouche liberté,La Scala Paris,<b>Du 27 février 2024 au 31 mars 2024</b>,5 rue des Vignes,Paris 16e,15-46 €,"(48.854572, 2.277741)",15.0,46.0,,30.5
151,Le Quai,La Manufacture des Abbesses,<b>Du 30 novembre 2023 au 14 janvier 2024</b>,5 rue des Vignes,Paris 16e,11-29 €,"(48.854572, 2.277741)",11.0,29.0,,20.0
152,Mondial placard,Théâtre Tristan-Bernard,<b>Du 19 janvier 2024 au 30 avril 2024</b>,5 rue des Vignes,Paris 16e,35-44 €,"(48.854572, 2.277741)",35.0,44.0,,39.5
153,Le Plus Heureux des trois,Théâtre Edgar,<b>Du 22 janvier 2024 au 14 mai 2024</b>,5 rue des Vignes,Paris 16e,23-39 €,"(48.854572, 2.277741)",23.0,39.0,,31.0
154,Cyrano,Le Théâtre Libre,<b>Du 16 janvier 2024 au 17 mars 2024</b>,5 rue des Vignes,Paris 16e,24-31 €,"(48.854572, 2.277741)",24.0,31.0,,27.5
155,Hamlet,Odéon - Théâtre de l'Europe,<b>Du 5 mars 2024 au 14 avril 2024</b>,5 rue des Vignes,Paris 16e,unknown,"(48.854572, 2.277741)",,,unknown,unknown
156,Choisis la vie et tu vivras,Théâtre L'Essaïon,<b>Du 22 décembre 2023 au 2 mars 2024</b>,5 rue des Vignes,Paris 16e,20-28 €,"(48.854572, 2.277741)",20.0,28.0,,24.0
157,Denali,Théâtre Marigny,<b>Du 17 novembre 2023 au 31 décembre 2023</b>,5 rue des Vignes,Paris 16e,25-45 €,"(48.854572, 2.277741)",25.0,45.0,,35.0
158,L'Avare,Espace Marais,<b>Du 23 septembre 2023 au 6 janvier 2024</b>,5 rue des Vignes,Paris 16e,13-37 €,"(48.854572, 2.277741)",13.0,37.0,,25.0
159,Les Délices du chocolat et puis… Venise,Comédie Italienne,<b>Du 14 octobre 2023 au 25 février 2024</b>,5 rue des Vignes,Paris 16e,unknown,"(48.854572, 2.277741)",,,unknown,unknown
160,Le jour où mon cactus a fleuri,Théâtre Le Bourvil,<b>Du 28 octobre 2023 au 31 mars 2024</b>,5 rue des Vignes,Paris 16e,14-40 €,"(48.854572, 2.277741)",14.0,40.0,,27.0
161,"Les parents viennent de Mars, les enfants du Mc Do ! Chez Papa",Théâtre des Blancs Manteaux,<b>Du 6 août 2022 au 30 mars 2024</b>,5 rue des Vignes,Paris 16e,20-74 €,"(48.854572, 2.277741)",20.0,74.0,,47.0
162,Le Nectar des dieux,Le Funambule Montmartre,<b>Du 9 novembre 2023 au 14 janvier 2024</b>,5 rue des Vignes,Paris 16e,11-33 €,"(48.854572, 2.277741)",11.0,33.0,,22.0
163,Je suis la maman du bourreau,La Pépinière Théâtre,<b>Du 18 janvier 2024 au 4 mai 2024</b>,5 rue des Vignes,Paris 16e,23-53 €,"(48.854572, 2.277741)",23.0,53.0,,38.0
164,Le portrait de Dorian Gray,Théâtre Ranelagh,<b>Du 21 octobre 2023 au 13 avril 2024</b>,5 rue des Vignes,Paris 16e,13-28 €,"(48.854572, 2.277741)",13.0,28.0,,20.5
165,100% Marianne,Théâtre du Gymnase,<b>Du 3 décembre 2023 au 21 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,24-35 €,"(48.869215, 2.356928)",24.0,35.0,,29.5
166,"Je ne cours pas, je vole !",Comédie des Champs-Élysées,<b>Du 14 septembre 2023 au 30 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,22-44 €,"(48.869215, 2.356928)",22.0,44.0,,33.0
167,"Amour, sexe et plus si affinités !",La Comédie du Onzième,<b>Du 30 septembre 2023 au 2 février 2024</b>,17 Rue René-Boulanger,Paris 10e,6-20 €,"(48.869215, 2.356928)",6.0,20.0,,13.0
168,The Rosa Parks Story,Alhambra,<b>Le 31 mai 2024</b>,17 Rue René-Boulanger,Paris 10e,24 €,"(48.869215, 2.356928)",,,24.0,24.0
169,Drôle d'Histoire de France,Théâtre Edgar,<b>Du 3 octobre 2023 au 21 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,13-39 €,"(48.869215, 2.356928)",13.0,39.0,,26.0
170,Le Neveu de Rameau,Théâtre Ranelagh,<b>Du 9 septembre 2023 au 14 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,13-44 €,"(48.869215, 2.356928)",13.0,44.0,,28.5
171,Les Chaises,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 10 mars 2024</b>,17 Rue René-Boulanger,Paris 10e,16-33 €,"(48.869215, 2.356928)",16.0,33.0,,24.5
172,Eurydice,Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 4 mars 2024</b>,17 Rue René-Boulanger,Paris 10e,24 €,"(48.869215, 2.356928)",,,24.0,24.0
173,Eva Rami : Va aimer !,Théâtre Lepic,<b>Du 26 septembre 2023 au 5 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,24-35 €,"(48.869215, 2.356928)",24.0,35.0,,29.5
174,Dialaw Project,Théâtre de la Ville - Les Abbesses,<b>Du 19 décembre 2023 au 23 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,unknown,"(48.869215, 2.356928)",,,unknown,unknown
175,Désintégration,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,11-24 €,"(48.869215, 2.356928)",11.0,24.0,,17.5
176,Dom Juan,Odéon - Théâtre de l'Europe,<b>Du 23 avril 2024 au 19 mai 2024</b>,17 Rue René-Boulanger,Paris 10e,unknown,"(48.869215, 2.356928)",,,unknown,unknown
177,Mort à crédit,Théâtre de la Contrescarpe,<b>Du 1 octobre 2023 au 28 février 2024</b>,17 Rue René-Boulanger,Paris 10e,12-33 €,"(48.869215, 2.356928)",12.0,33.0,,22.5
178,Le Syndrome de l'oiseau,Théâtre du Petit Saint-Martin,<b>Du 23 janvier 2024 au 9 mars 2024</b>,17 Rue René-Boulanger,Paris 10e,37 €,"(48.869215, 2.356928)",,,37.0,37.0
179,Premier Amour,Théâtre du Petit Saint-Martin,<b>Du 24 novembre 2023 au 30 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,32 €,"(48.869215, 2.356928)",,,32.0,32.0
180,Une fille d'Ève,Guichet-Montparnasse,<b>Du 3 novembre 2023 au 28 janvier 2024</b>,16 passage Piver,Paris 11e,24 €,"(48.8709, 2.374281)",,,24.0,24.0
181,La Réunification des deux Corées,Théâtre de la Porte Saint-Martin,<b>Du 24 avril 2024 au 26 mai 2024</b>,16 passage Piver,Paris 11e,29-51 €,"(48.8709, 2.374281)",29.0,51.0,,40.0
182,Bric à Brac,Théâtre La Croisée des Chemins,<b>Du 16 septembre 2023 au 30 décembre 2023</b>,16 passage Piver,Paris 11e,13-22 €,"(48.8709, 2.374281)",13.0,22.0,,17.5
183,La Mouche,Théâtre des Bouffes du Nord,<b>Du 7 février 2024 au 25 février 2024</b>,16 passage Piver,Paris 11e,40 €,"(48.8709, 2.374281)",,,40.0,40.0
184,"Mozart, mon amour",Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 4 mars 2024</b>,16 passage Piver,Paris 11e,28 €,"(48.8709, 2.374281)",,,28.0,28.0
185,Le Joueur d'échecs,Théâtre L'Essaïon,<b>Du 16 octobre 2023 au 30 janvier 2024</b>,16 passage Piver,Paris 11e,16-28 €,"(48.8709, 2.374281)",16.0,28.0,,22.0
186,Le Cid,Théâtre Ranelagh,<b>Du 15 octobre 2023 au 20 avril 2024</b>,16 passage Piver,Paris 11e,13-28 €,"(48.8709, 2.374281)",13.0,28.0,,20.5
187,Les Diaboliques,Théâtre de Poche-Montparnasse,<b>Du 16 janvier 2024 au 10 mars 2024</b>,16 passage Piver,Paris 11e,23-28 €,"(48.8709, 2.374281)",23.0,28.0,,25.5
188,Jamais le deuxième soir !,Théâtre Mélo d'Amélie,<b>Du 12 janvier 2024 au 30 avril 2024</b>,16 passage Piver,Paris 11e,11-29 €,"(48.8709, 2.374281)",11.0,29.0,,20.0
189,La Fontaine en fables et en notes,Théâtre de Poche-Montparnasse,<b>Du 18 septembre 2023 au 25 mars 2024</b>,16 passage Piver,Paris 11e,28 €,"(48.8709, 2.374281)",,,28.0,28.0
190,La Mouette,Théâtre de la Ville - Les Abbesses,<b>Du 31 janvier 2024 au 11 février 2024</b>,16 passage Piver,Paris 11e,unknown,"(48.8709, 2.374281)",,,unknown,unknown
191,La Cantatrice chauve + La Leçon,Théâtre de la Huchette,<b>Du 16 février 1957 au 13 juillet 2024</b>,16 passage Piver,Paris 11e,34 €,"(48.8709, 2.374281)",,,34.0,34.0
192,La Réponse des Hommes,Odéon - Ateliers Berthier,<b>Du 9 janvier 2024 au 20 janvier 2024</b>,16 passage Piver,Paris 11e,31-40 €,"(48.8709, 2.374281)",31.0,40.0,,35.5
193,4211 km,Théâtre Marigny,<b>Du 10 janvier 2024 au 14 avril 2024</b>,16 passage Piver,Paris 11e,20-47 €,"(48.8709, 2.374281)",20.0,47.0,,33.5
194,Orphelins,Théâtre de Belleville,<b>Du 3 décembre 2023 au 28 décembre 2023</b>,16 passage Piver,Paris 11e,13-30 €,"(48.8709, 2.374281)",13.0,30.0,,21.5
195,Ce qu'il faudra laisser aux anges,Théâtre Lepic,<b>Du 15 octobre 2023 au 12 mai 2024</b>,16 passage Piver,Paris 11e,28-42 €,"(48.8709, 2.374281)",28.0,42.0,,35.0
196,Quand je serai grande je serai Patrick Swayze,La Scala Paris,<b>Du 3 octobre 2023 au 27 décembre 2023</b>,16 passage Piver,Paris 11e,28 €,"(48.8709, 2.374281)",,,28.0,28.0
197,Zoé,Théâtre de Belleville,<b>Du 5 janvier 2024 au 29 février 2024</b>,16 passage Piver,Paris 11e,13-30 €,"(48.8709, 2.374281)",13.0,30.0,,21.5
198,Frank Henry : Gangster ni fier ni honteux,La Nouvelle Ève,<b>Du 26 janvier 2024 au 30 mars 2024</b>,16 passage Piver,Paris 11e,39-46 €,"(48.8709, 2.374281)",39.0,46.0,,42.5
199,La Leçon,Théâtre de la Huchette,<b>Du 18 février 1957 au 13 juillet 2024</b>,16 passage Piver,Paris 11e,23 €,"(48.8709, 2.374281)",,,23.0,23.0
200,Le Misanthrope,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 janvier 2024 au 4 février 2024</b>,16 passage Piver,Paris 11e,11-24 €,"(48.8709, 2.374281)",11.0,24.0,,17.5
201,L'Échappée,Théâtre du Rond-Point,<b>Du 12 décembre 2023 au 23 décembre 2023</b>,16 passage Piver,Paris 11e,unknown,"(48.8709, 2.374281)",,,unknown,unknown
202,Andromaque,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 janvier 2024 au 28 janvier 2024</b>,16 passage Piver,Paris 11e,11-24 €,"(48.8709, 2.374281)",11.0,24.0,,17.5
203,Une belle histoire d'humour,Théâtre du Gymnase,<b>Du 13 octobre 2023 au 6 janvier 2024</b>,16 passage Piver,Paris 11e,unknown,"(48.8709, 2.374281)",,,unknown,unknown
204,C'est pas facile d'être heureux quand on va mal,Théâtre Lepic,<b>Du 17 janvier 2024 au 12 mai 2024</b>,16 passage Piver,Paris 11e,28-42 €,"(48.8709, 2.374281)",28.0,42.0,,35.0
205,Il est interdit de vieillir,Studio Hébertot,<b>Du 21 novembre 2023 au 31 janvier 2024</b>,16 passage Piver,Paris 11e,22 €,"(48.8709, 2.374281)",,,22.0,22.0
206,Le Jeu de l'amour et du hasard,Théâtre du Lucernaire,<b>Du 24 janvier 2024 au 24 mars 2024</b>,16 passage Piver,Paris 11e,16-33 €,"(48.8709, 2.374281)",16.0,33.0,,24.5
207,Pauline & Carton,La Scala Paris,<b>Du 16 mars 2024 au 23 juin 2024</b>,16 passage Piver,Paris 11e,20-25 €,"(48.8709, 2.374281)",20.0,25.0,,22.5
208,Un prince,Comédie des Champs-Élysées,<b>Du 24 janvier 2024 au 31 mars 2024</b>,16 passage Piver,Paris 11e,49 €,"(48.8709, 2.374281)",,,49.0,49.0
209,Dans 5 heures,Théâtre de Belleville,<b>Du 7 janvier 2024 au 30 janvier 2024</b>,16 passage Piver,Paris 11e,13-30 €,"(48.8709, 2.374281)",13.0,30.0,,21.5
210,Le Palier,Théâtre La Croisée des Chemins,<b>Du 4 novembre 2023 au 30 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,13-22 €,"(48.864546, 2.397659)",13.0,22.0,,17.5
211,Le Testament Médicis,Théâtre Lepic,<b>Du 16 juin 2023 au 7 janvier 2024</b>,15 rue Malte-Brun,Paris 20e,24-42 €,"(48.864546, 2.397659)",24.0,42.0,,33.0
212,Un Tramway nommé Désir,Théâtre des Bouffes Parisiens,<b>Du 31 janvier 2024 au 31 mars 2024</b>,15 rue Malte-Brun,Paris 20e,15-75 €,"(48.864546, 2.397659)",15.0,75.0,,45.0
213,"Les Garçons et Guillaume, à table !",Le Funambule Montmartre,<b>Du 4 mars 2024 au 30 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11-33 €,"(48.864546, 2.397659)",11.0,33.0,,22.0
214,La Porte à côté,À la Folie Théâtre,<b>Du 1 décembre 2023 au 2 mars 2024</b>,15 rue Malte-Brun,Paris 20e,12-24 €,"(48.864546, 2.397659)",12.0,24.0,,18.0
215,"Yann Marguet : Exister, définition",Le Théâtre Libre,<b>Du 5 octobre 2023 au 30 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,25-29 €,"(48.864546, 2.397659)",25.0,29.0,,27.0
216,Hold up et bras cassés,Théâtre Montmartre Galabru,<b>Du 22 septembre 2023 au 29 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,16-24 €,"(48.864546, 2.397659)",16.0,24.0,,20.0
217,Alessandra Sublet : Tous les risques n'auront pas la saveur du succès,Le Théâtre Libre,<b>Du 17 novembre 2023 au 23 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,30 €,"(48.864546, 2.397659)",,,30.0,30.0
218,Le Mariage forcé,Théâtre du Rond-Point,<b>Du 20 février 2024 au 1 mars 2024</b>,15 rue Malte-Brun,Paris 20e,unknown,"(48.864546, 2.397659)",,,unknown,unknown
219,Charles de Foucauld frère universel,Église Saint-Augustin,<b>Du 8 novembre 2023 au 26 juin 2024</b>,15 rue Malte-Brun,Paris 20e,unknown,"(48.864546, 2.397659)",,,unknown,unknown
220,La vengeance est un plat,Athénée Théâtre Louis-Jouvet,<b>Du 9 janvier 2024 au 21 janvier 2024</b>,15 rue Malte-Brun,Paris 20e,15-40 €,"(48.864546, 2.397659)",15.0,40.0,,27.5
221,Dans la peau de Cyrano,Théâtre Ranelagh,<b>Du 18 janvier 2024 au 28 avril 2024</b>,15 rue Malte-Brun,Paris 20e,13-39 €,"(48.864546, 2.397659)",13.0,39.0,,26.0
222,À la recherche du temps perdu,Théâtre de la Contrescarpe,<b>Du 5 novembre 2023 au 31 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,12-33 €,"(48.864546, 2.397659)",12.0,33.0,,22.5
223,Roméo et Juliette,Théâtre Lepic,<b>Du 27 septembre 2023 au 7 janvier 2024</b>,15 rue Malte-Brun,Paris 20e,24-42 €,"(48.864546, 2.397659)",24.0,42.0,,33.0
224,Ils nous ont oubliés,La Colline - Théâtre national,<b>Du 16 janvier 2024 au 10 février 2024</b>,15 rue Malte-Brun,Paris 20e,11-36 €,"(48.864546, 2.397659)",11.0,36.0,,23.5
225,Les Travailleurs de la mer,Théâtre du Lucernaire,<b>Du 24 janvier 2024 au 17 mars 2024</b>,78 bis bd des Batignolles,Paris 17e,16-33 €,"(48.884747, 2.321188)",16.0,33.0,,24.5
226,La P'tite Débrouille,Les Enfants du Paradis,<b>Du 28 septembre 2023 au 6 janvier 2024</b>,78 bis bd des Batignolles,Paris 17e,15-26 €,"(48.884747, 2.321188)",15.0,26.0,,20.5
227,Inscape Game,Le Funambule Montmartre,<b>Du 6 novembre 2023 au 2 janvier 2024</b>,78 bis bd des Batignolles,Paris 17e,11-33 €,"(48.884747, 2.321188)",11.0,33.0,,22.0
