,Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,coordonnees
371,376,Ravel : Concerto en sol,Maison de la Radio et de la Musique,Vendredi 8 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
372,377,Adrien Polycarpe,Église Saint-Éphrem,Vendredi 8 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
373,378,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 8 Mars : 20h45,"Place Saint-Germain des PrésParis, France",Paris 6e,22-44 €,"(2.333399, 48.854182)"
374,379,Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,Samedi 9 Mars : 15h30,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
375,380,Orane Donnadieu,Église Saint-Éphrem,Samedi 9 Mars : 18h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
376,381,Vous trouvez ça classique ? La Mer de Debussy,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 9 Mars : 19h00,"1 île SeguinParis, France",Boulogne-Billancourt,unknown,"(-1.658202, 48.12346)"
377,382,London Symphony Orchestra et Kirill Gerstein,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 9 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
378,383,Chorus Line #3,Maison de la Radio et de la Musique,Samedi 9 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
379,384,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Samedi 9 Mars : 20h45,"Place de la MadeleineParis, France",Paris 8e,22-44 €,"(-0.547271, 47.447784)"
380,385,Maxim Emelyanychev et Aylen Pritchin,Théâtre des Champs-Élysées,Dimanche 10 Mars : 11h00,"15 avenue MontaigneParis, France",Paris 8e,16-28 €,"(6.982606, 43.549211)"
381,386,Capriccio,Opéra Garnier,Dimanche 10 Mars : 12h00,"place de l'OpéraParis, France",Paris 9e,39 €,"(-0.199047, 49.27727)"
