,nom,etablissement,Date,adresse,commune,prix
175,Quatuor Hanson,Théâtre des Champs-Élysées,Dimanche 21 Janvier : 11h00,76 rue de la Verrerie,Paris 4e,16-28 €
176,Monteverdi : Vêpres de la Vierge,Chapelle royale - Château de Versailles,Dimanche 21 Janvier : 15h00,76 rue de la Verrerie,Paris 4e,unknown
177,Duo Y'voir,Cathédrale américaine,Dimanche 21 Janvier : 15h00,76 rue de la Verrerie,Paris 4e,unknown
178,Quatuor Hagen,Salle des concerts - Cité de la Musique-Philharmonie,Dimanche 21 Janvier : 16h00,76 rue de la Verrerie,Paris 4e,unknown
179,Umberto Realino,Église Saint-Merry,Dimanche 21 Janvier : 16h00,76 rue de la Verrerie,Paris 4e,unknown
180,Adrien Polycarpe,Église Saint-Éphrem,Dimanche 21 Janvier : 16h30,17 rue des Carmes,Paris 5e,16-25 €
181,Patrick Delabre,Église Sainte-Marie,Dimanche 21 Janvier : 16h30,17 rue des Carmes,Paris 5e,unknown
182,"Sanae Rodière, Akie Kakehi, Marion Rodière et Akiko Takao",Église Notre-Dame-de-Compassion,Dimanche 21 Janvier : 16h30,17 rue des Carmes,Paris 5e,unknown
183,Orchestre du campus d'Orsay,Campus d'Orsay - Amphithéâtre Henri Cartan,Dimanche 21 Janvier : 17h00,17 rue des Carmes,Paris 5e,unknown
184,Thomas Ospital,Église Saint-Eustache,Dimanche 21 Janvier : 17h00,17 rue des Carmes,Paris 5e,unknown
185,Pierre Hamon,Église Saint-Pierre de Montmartre,Dimanche 21 Janvier : 18h00,17 rue des Carmes,Paris 5e,unknown
186,Quatuor Modigliani et Quatuor Leonkoro,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 21 Janvier : 19h00,17 rue des Carmes,Paris 5e,unknown
187,Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Dimanche 21 Janvier : 20h30,17 rue des Carmes,Paris 5e,unknown
188,Natasha Kadyrova,Église Saint-Éphrem,Lundi 22 Janvier : 19h30,17 rue des Carmes,Paris 5e,16-25 €
189,Royal Concertgebouw Orchestra et Emanuel Ax,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 22 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
190,« Atys » de Lully,Opéra royal - Château de Versailles,Lundi 22 Janvier : 20h00,17 rue des Carmes,Paris 5e,83-128 €
191,"Mozart, mon amour",Salle Gaveau,Lundi 22 Janvier : 20h30,17 rue des Carmes,Paris 5e,unknown
192,Nouveaux Mondes,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 23 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
193,Valérie Aimard,Collège des Bernardins,Mercredi 24 Janvier : 12h30,17 rue des Carmes,Paris 5e,unknown
194,Adrien Polycarpe,Église Saint-Éphrem,"Mercredi 24 Janvier : 19h00, Mardi 30 Janvier : 19h30",17 rue des Carmes,Paris 5e,16-25 €
195,Airs et ensembles d'opéra,Opéra Garnier,Mercredi 24 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
196,Orchestre de Paris et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 24 Janvier : 20h00, Jeudi 25 Janvier : 20h00",17 rue des Carmes,Paris 5e,unknown
197,Les Affranchi.e.s,ECUJE,Mercredi 24 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
198,"L'art des études, rencontre entre l'artisanat européen et japonais",Musée Guimet,Mercredi 24 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
199,Gary Hoffman et David Selig,Église Saint-Paul de la Plaine,"Jeu 25 Janvier : 12h30, 20h00",17 rue des Carmes,Paris 5e,unknown
200,Pascal Gallet,Institut National des Jeunes Aveugles,Jeudi 25 Janvier : 13h00,17 rue des Carmes,Paris 5e,unknown
201,Carl Orff : Carmina Burana,Théâtre des Champs-Élysées,"Jeudi 25 Janvier : 19h30, Vendredi 26 Janvier : 19h30",17 rue des Carmes,Paris 5e,unknown
202,Elio di Tanna,Église Saint-Éphrem,Jeudi 25 Janvier : 19h30,17 rue des Carmes,Paris 5e,16-25 €
203,Thomas Enhco et Vassilena Serafimova,Théâtre de l'Œuvre,Jeudi 25 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
204,Cyrille Dubois et Tristan Raës,Amphithéâtre - Cité de la Musique-Philharmonie,Jeudi 25 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
205,David Lively et Busoni,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 25 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
206,Orchestre philharmonique de Radio France et Renaud Capuçon,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 26 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
207,"Mathieu Salama, Bruno Angé et Olivier Pelmoine",Espace Jules Vallès,Vendredi 26 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
208,Maîtres de Notre-Dame,Auditorium Michel Laclotte - Musée du Louvre,Vendredi 26 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
209,Martin Beau,Église Saint-Éphrem,Vendredi 26 Janvier : 20h00,17 rue des Carmes,Paris 5e,16-25 €
210,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Vendredi 26 Janvier : 20h45,23 avenue George V,Paris 8e,22-44 €
211,Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,Samedi 27 Janvier : 15h30,23 avenue George V,Paris 8e,unknown
212,Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Samedi 27 Janvier : 16h00,23 avenue George V,Paris 8e,16-25 €
213,Ensemble Beata Musica,Église Sainte-Rosalie,Samedi 27 Janvier : 16h00,23 avenue George V,Paris 8e,unknown
214,Pelléas etc.,Salle des concerts - Cité de la Musique-Philharmonie,"Samedi 27 Janvier : 20h00, Dimanche 28 Janvier : 16h00",23 avenue George V,Paris 8e,unknown
215,Quatuor Strada et Simon Zaoui,Le Studio - Philharmonie de Paris,Samedi 27 Janvier : 20h00,23 avenue George V,Paris 8e,unknown
216,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 27 Janvier : 20h00,23 avenue George V,Paris 8e,22-33 €
217,L'invitation au voyage,Archives nationales,Samedi 27 Janvier : 20h00,23 avenue George V,Paris 8e,unknown
218,"Joseph Pernoo, Claire Thirion et Karine Sélo",L'Accord Parfait,Samedi 27 Janvier : 20h00,23 avenue George V,Paris 8e,unknown
219,Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 27 Janvier : 20h30,23 avenue George V,Paris 8e,unknown
220,Ensemble vocal Largentière,Église Saint-Jean-Baptiste,Samedi 27 Janvier : 20h30,23 avenue George V,Paris 8e,unknown
221,Orchestre Hélios et Glen Rouxel,Église Saint-Louis-en-l'Île,Sam 27 Janvier : 20h45,23 avenue George V,Paris 8e,22-44 €
222,"Joseph Pernoo, Vincent Penot, Claire Thirion et Karine Sélo",L'Accord Parfait,Dimanche 28 Janvier : 11h00,23 avenue George V,Paris 8e,unknown
223,Une après-midi avec Fauré,Musée de la Musique - Cité de la Musique-Philharmonie,"Dimanche 28 Janvier : 14h30, 15h30",23 avenue George V,Paris 8e,unknown
224,Jules Hemmi,Cathédrale américaine,Dimanche 28 Janvier : 15h00,23 avenue George V,Paris 8e,unknown
225,Concert inaugural - 1873,Salle Gaveau,Dimanche 28 Janvier : 16h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
226,Nour Ayadi,La Scala Paris,Dimanche 28 Janvier : 16h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
227,Ensemble vocal Largentière,Église Saint-Jacques-du-Haut-Pas,Dimanche 28 Janvier : 16h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
228,Chœur de Grenelle,Église Saint-Ferdinand-des-Ternes,Dimanche 28 Janvier : 16h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
229,Le Madrigal de Suresnes,Église Notre-Dame-de-Compassion,Dimanche 28 Janvier : 16h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
230,Evgeny Kissin,Théâtre des Champs-Élysées,Dimanche 28 Janvier : 17h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
231,Remi Masunaga,Église Saint-Éphrem,Dimanche 28 Janvier : 17h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
232,Baptiste-Florian Marle-Ouvrard,Église Saint-Eustache,Dimanche 28 Janvier : 17h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
233,Alice Ferrière et Nicolas Royez,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 28 Janvier : 17h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
234,Alexandra Bartfeld,Église Saint-Pierre de Montmartre,Dimanche 28 Janvier : 18h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
235,« Les Soldats » de Zimmermann,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 28 Janvier : 19h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
236,Loann Fourmental,Église Saint-Éphrem,Lundi 29 Janvier : 19h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
237,Les trois contre-ténors,Opéra royal - Château de Versailles,Lundi 29 Janvier : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
238,Quatuor Cambini et Judith van Wanroij,Grand Salon du Musée de l'Armée - Musée de l'Armée,Lundi 29 Janvier : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
239,Jenny Daviet et Alphonse Cemin,Athénée Théâtre Louis-Jouvet,Lundi 29 Janvier : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,24-31 €
240,Yusif Eyvazov et Murad Adigezalzade,Salle Gaveau,Lundi 29 Janvier : 20h30,221 avenue Jean-Jaurès,Paris 19e,unknown
241,Haendel : Aggripine,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 30 Janvier : 19h30,221 avenue Jean-Jaurès,Paris 19e,unknown
242,« Alceste » de Lully,Opéra royal - Château de Versailles,Mardi 30 Janvier : 20h00,221 avenue Jean-Jaurès,Paris 19e,71-115 €
243,Valérie Aimard,Collège des Bernardins,Mercredi 31 Janvier : 12h30,221 avenue Jean-Jaurès,Paris 19e,unknown
244,Martin Beau,Église Saint-Éphrem,Mercredi 31 Janvier : 19h30,221 avenue Jean-Jaurès,Paris 19e,16-25 €
245,"Sunwook Kim, Clara-Jumi Kang et Edgar Moreau",Théâtre des Champs-Élysées,Mercredi 31 Janvier : 20h00,221 avenue Jean-Jaurès,Paris 19e,26-70 €
246,Orchestre de Paris,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 31 Janvier : 20h00, Jeudi 1er Février : 20h00",221 avenue Jean-Jaurès,Paris 19e,unknown
247,Teva Mazoyer,Église Saint-Éphrem,"Jeudi 1er Février : 17h30, Mardi 6 Février : 18h00",221 avenue Jean-Jaurès,Paris 19e,16-25 €
248,« Alceste » de Lully,Théâtre des Champs-Élysées,Jeudi 1er Février : 19h30,221 avenue Jean-Jaurès,Paris 19e,28-89 €
249,Beethoven : Symphonie n°7,Maison de la Radio et de la Musique,Jeudi 1er Février : 20h00,221 avenue Jean-Jaurès,Paris 19e,unknown
250,Batailles et bruits de guerre,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 1er Février : 20h00,221 avenue Jean-Jaurès,Paris 19e,unknown
251,Gershwin : Rhapsody in Blue,Auditorium Patrick Devedjian - La Seine Musicale,Jeudi 1er Février : 20h30,221 avenue Jean-Jaurès,Paris 19e,unknown
252,Adrien Polycarpe,Église Saint-Éphrem,Vendredi 2 Février : 19h00,221 avenue Jean-Jaurès,Paris 19e,16-25 €
253,« Rinaldo » de Haendel,Théâtre des Champs-Élysées,Vendredi 2 Février : 19h30,221 avenue Jean-Jaurès,Paris 19e,28-61 €
254,Brahms : Un Requiem allemand,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 2 Février : 20h00,221 avenue Jean-Jaurès,Paris 19e,unknown
255,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 2 Février : 20h45,598 rue André Rivière,Orsay,22-44 €
256,Pascal Mantin,Église Saint-Éphrem,Samedi 3 Février : 16h30,598 rue André Rivière,Orsay,16-25 €
257,Singin' in the Rain,Amphithéâtre - Cité de la Musique-Philharmonie,Samedi 3 Février : 18h00,598 rue André Rivière,Orsay,unknown
258,Vous trouvez ça classique ? Concerto pour piano n°2 de Rachmaninov,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 3 Février : 19h00,598 rue André Rivière,Orsay,unknown
259,Le violon de Beethoven,Opéra de Massy,Samedi 3 Février : 20h00,598 rue André Rivière,Orsay,unknown
260,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 3 Février : 20h00,598 rue André Rivière,Orsay,22-33 €
261,Les frères Haydn,Église Saint-Roch,"Samedi 3 Février : 20h30, Dimanche 4 Février : 15h00",598 rue André Rivière,Orsay,unknown
262,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 3 Février : 20h45,598 rue André Rivière,Orsay,22-44 €
263,« Didon et Énée » de Purcell,Théâtre des Champs-Élysées,Dimanche 4 Février : 11h00,598 rue André Rivière,Orsay,16-28 €
264,Ludwig m'a chanté,Théâtre de l'Aquarium - Cartoucherie,Dimanche 4 Février : 15h00,598 rue André Rivière,Orsay,13-24 €
265,Jorge Garcia Herranz,Cathédrale américaine,Dimanche 4 Février : 15h00,598 rue André Rivière,Orsay,unknown
266,Haydn : Les Sept Dernières Paroles du Christ en Croix,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 4 Février : 16h00,598 rue André Rivière,Orsay,unknown
267,Natasha Kadyrova et Marina Kolomitceva,Église Saint-Éphrem,Dimanche 4 Février : 16h00,598 rue André Rivière,Orsay,16-25 €
268,Orchestre de l'Académie de l'île Saint-Louis,Église Saint-Louis-en-l'Île,Dim 4 Février : 16h00,598 rue André Rivière,Orsay,unknown
269,Musiques de Couronnement,Campus d'Orsay - Amphithéâtre Henri Cartan,Dimanche 4 Février : 16h00,598 rue André Rivière,Orsay,unknown
270,Ensemble Beata Musica,Hôpital Tenon,Dimanche 4 Février : 16h00,17 rue des Carmes,Paris 5e,unknown
271,Umberto Realino,Chapelle de l'Agneau de Dieu,Dimanche 4 Février : 17h00,17 rue des Carmes,Paris 5e,unknown
272,Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,Dimanche 4 Février : 18h00,17 rue des Carmes,Paris 5e,unknown
273,Olivier Schmitt,Église Saint-Pierre de Montmartre,Dimanche 4 Février : 18h00,17 rue des Carmes,Paris 5e,unknown
274,« Don Giovanni » de Mozart,Théâtre des Champs-Élysées,Lundi 5 Février : 19h30,17 rue des Carmes,Paris 5e,unknown
275,Loann Fourmental,Église Saint-Éphrem,Lundi 5 Février : 19h30,17 rue des Carmes,Paris 5e,16-25 €
276,Cuarteto Chagall et Angélica Rodríguez,Athénée Théâtre Louis-Jouvet,Lundi 5 Février : 20h00,17 rue des Carmes,Paris 5e,15-31 €
277,Orchestre national du Capitole de Toulouse,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 5 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
278,Elisabeth Leonskaja,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 6 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
279,"Sonia Wieder-Atherton, Amaryllis Billet et Françoise Rivalland",Auditorium Patrick Devedjian - La Seine Musicale,Mardi 6 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
280,Orchestre Les Violons de France,Église de la Madeleine,Mercredi 7 Février : 19h30,17 rue des Carmes,Paris 5e,22-33 €
281,Orchestre de chambre de Paris et Christian Tetzlaff,Théâtre des Champs-Élysées,Mercredi 7 Février : 20h00,17 rue des Carmes,Paris 5e,15-52 €
282,Orchestre de Paris et Nina Stemme,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 7 Février : 20h00, Jeudi 8 Février : 20h00",17 rue des Carmes,Paris 5e,unknown
283,« Didon et Énée » de Purcell / « Jephté » de Carissimi,Théâtre des Champs-Élysées,Jeudi 8 Février : 19h30,17 rue des Carmes,Paris 5e,unknown
284,Maxime Sauze,Église Saint-Éphrem,Jeudi 8 Février : 19h30,17 rue des Carmes,Paris 5e,16-25 €
285,Chœur de Grenelle,Église Saint-Roch,Jeudi 8 Février : 20h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
286,Teva Mazoyer,Église Saint-Éphrem,Vendredi 9 Février : 19h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
287,Ballades musicales,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 10 Février : 15h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
288,Adrien Polycarpe,Église Saint-Éphrem,"Samedi 10 Février : 16h30, Mardi 13 Février : 19h00",7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
289,Gautier Capuçon et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 10 Février : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
290,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 10 Février : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,22-33 €
291,Le Monde de Ravel,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 10 Février : 20h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
292,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 10 Février : 20h45,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,22-44 €
293,Adam Laloum,Théâtre des Champs-Élysées,Dimanche 11 Février : 11h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-28 €
294,Remi Masunaga,Église Saint-Éphrem,Dimanche 11 Février : 16h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
295,West Side Story & Porgy and Bess,Auditorium Patrick Devedjian - La Seine Musicale,Dimanche 11 Février : 16h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
296,Adriana von Franqué,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 11 Février : 17h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
297,Illya Amar,Église Saint-Pierre de Montmartre,Dimanche 11 Février : 18h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,unknown
298,Natasha Kadyrova,Église Saint-Éphrem,Lundi 12 Février : 19h30,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,16-25 €
299,"Anna Prohaska, Lars Eidinger et Eric Schneider",Athénée Théâtre Louis-Jouvet,Lundi 12 Février : 20h00,7 rue Boudreau Square de l'Opéra Louis-Jouvet,Paris 9e,24-31 €
300,The Beggar's Ensemble,La Scala Paris,Mardi 13 Février : 19h30,17 rue des Carmes,Paris 5e,unknown
301,Beatrice Rana,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 13 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
302,Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Mercredi 14 Février : 19h30,17 rue des Carmes,Paris 5e,16-25 €
303,Stéphane Degout et Alain Planès,Opéra Comique,Mercredi 14 Février : 20h00,17 rue des Carmes,Paris 5e,21-55 €
304,« L'Orfeo » de Monteverdi,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 14 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
305,Orchestre Les Violons de France,Église de la Madeleine,Mercredi 14 Février : 20h00,17 rue des Carmes,Paris 5e,22-33 €
306,Loann Fourmental,Église Saint-Éphrem,Jeudi 15 Février : 19h00,17 rue des Carmes,Paris 5e,16-25 €
307,Mahler : Symphonie n°6,Maison de la Radio et de la Musique,Vendredi 16 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
308,Antonin Bonnet,Église Saint-Éphrem,Vendredi 16 Février : 20h00,17 rue des Carmes,Paris 5e,16-25 €
309,Adrien Polycarpe,Église Saint-Éphrem,"Samedi 17 Février : 17h30, Mardi 20 Février : 19h00",17 rue des Carmes,Paris 5e,16-25 €
310,Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 17 Février : 20h30,17 rue des Carmes,Paris 5e,unknown
311,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Samedi 17 Février : 20h45,17 rue des Carmes,Paris 5e,22-44 €
312,Métamorphoses,Opéra Garnier,Dimanche 18 Février : 12h00,17 rue des Carmes,Paris 5e,39 €
313,Orchestre Les Solistes français et Paul Rouger,Église Saint-Louis-en-l'Île,Dim 18 Février : 16h00,17 rue des Carmes,Paris 5e,unknown
314,Remi Masunaga,Église Saint-Éphrem,Dimanche 18 Février : 16h30,17 rue des Carmes,Paris 5e,16-25 €
315,Émilie Clément-Planche et Anastasie Jeanne,Église Saint-Pierre de Montmartre,Dimanche 18 Février : 18h00,116 avenue du Président Kennedy,Paris 16e,unknown
316,Remi Masunaga,Église Saint-Éphrem,Lundi 19 Février : 20h00,116 avenue du Président Kennedy,Paris 16e,16-25 €
317,Plamena Mangova,Maison de la Radio et de la Musique,Mardi 20 Février : 20h00,116 avenue du Président Kennedy,Paris 16e,unknown
318,Elio di Tanna,Église Saint-Éphrem,Mercredi 21 Février : 17h30,116 avenue du Président Kennedy,Paris 16e,16-25 €
319,Thibaut Maudry et Adrien Polycarpe,Église Saint-Éphrem,Jeudi 22 Février : 19h00,116 avenue du Président Kennedy,Paris 16e,16-25 €
320,"Haendel, les grands airs d'opéra",Maison de la Radio et de la Musique,Jeudi 22 Février : 20h00,116 avenue du Président Kennedy,Paris 16e,unknown
321,Orchestre Les Violons de France,Église de la Madeleine,Vendredi 23 Février : 19h30,116 avenue du Président Kennedy,Paris 16e,22-33 €
322,Pascal Mantin,Église Saint-Éphrem,Vendredi 23 Février : 20h00,116 avenue du Président Kennedy,Paris 16e,16-25 €
323,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 23 Février : 20h45,116 avenue du Président Kennedy,Paris 16e,22-44 €
324,Antonin Bonnet,Église Saint-Éphrem,Samedi 24 Février : 16h30,116 avenue du Président Kennedy,Paris 16e,16-25 €
325,Remi Masunaga,Église Saint-Éphrem,Samedi 24 Février : 19h00,116 avenue du Président Kennedy,Paris 16e,16-25 €
326,Katia Weimann et Christian Hohn,L'Accord Parfait,Samedi 24 Février : 20h00,116 avenue du Président Kennedy,Paris 16e,unknown
327,Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 24 Février : 20h30,116 avenue du Président Kennedy,Paris 16e,unknown
328,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Samedi 24 Février : 20h45,116 avenue du Président Kennedy,Paris 16e,22-44 €
329,Les Matins du National,Maison de la Radio et de la Musique,Dimanche 25 Février : 11h00,116 avenue du Président Kennedy,Paris 16e,unknown
330,Ensemble Hélios et Chœur Hélios éphémère,Église Saint-Louis-en-l'Île,Dim 25 Février : 15h00,17 rue des Carmes,Paris 5e,22-44 €
331,"Élisa Huteau, Thibaut Maudry et Adrien Polycarpe",Église Saint-Éphrem,Dimanche 25 Février : 17h00,17 rue des Carmes,Paris 5e,16-25 €
332,Violette Erhart,Comédie Nation,Dimanche 25 Février : 19h00,17 rue des Carmes,Paris 5e,16-22 €
333,Natasha Kadyrova,Église Saint-Éphrem,Lundi 26 Février : 17h30,17 rue des Carmes,Paris 5e,16-25 €
334,Piotr Anderszewski,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 26 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
335,Airs italiens,Salle des concerts - Cité de la Musique-Philharmonie,Lundi 26 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
336,"Allan Clayton, George Humphreys, Christopher Lowrey et Julius Drake",Athénée Théâtre Louis-Jouvet,Lundi 26 Février : 20h00,17 rue des Carmes,Paris 5e,24-31 €
337,Hungarian Rock,Théâtre des Bouffes du Nord,Lundi 26 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
338,Orchestre Lamoureux et Gautier Capuçon,L'Olympia,Lun 26 Février : 20h30,17 rue des Carmes,Paris 5e,unknown
339,Adrien Polycarpe,Église Saint-Éphrem,Mardi 27 Février : 19h00,17 rue des Carmes,Paris 5e,16-25 €
340,Sunwook Kim et Clara-Jumi Kang,Théâtre des Champs-Élysées,Mardi 27 Février : 20h00,17 rue des Carmes,Paris 5e,26-70 €
341,Camerata Salzburg et Janine Jansen,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 27 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
342,Classicismes,Salle des concerts - Cité de la Musique-Philharmonie,Mardi 27 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
343,Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 27 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
344,Elio di Tanna,Église Saint-Éphrem,Mercredi 28 Février : 17h30,17 rue des Carmes,Paris 5e,16-25 €
345,Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,Mercredi 28 Février : 19h30,17 rue des Carmes,Paris 5e,unknown
346,Ballets russes,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 28 Février : 20h00, Jeudi 29 Février : 20h00",17 rue des Carmes,Paris 5e,unknown
347,Quatuor Ébène,Maison de la Radio et de la Musique,Mercredi 28 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
348,Maxime Sauze,Église Saint-Éphrem,"Jeudi 29 Février : 19h00, Mardi 5 Mars : 19h00",17 rue des Carmes,Paris 5e,16-25 €
349,Orchestre Les Violons de France,Église de la Madeleine,Jeudi 29 Février : 19h30,17 rue des Carmes,Paris 5e,22-33 €
350,Igor Levit,Théâtre des Champs-Élysées,Jeudi 29 Février : 20h00,17 rue des Carmes,Paris 5e,24-61 €
351,Avant-scènes,Salle des concerts - Cité de la Musique-Philharmonie,Jeudi 29 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
352,Holst : Les Planètes,Maison de la Radio et de la Musique,Jeudi 29 Février : 20h00,17 rue des Carmes,Paris 5e,unknown
353,Vous avez dit classique ?,Théâtre Victor-Hugo,Jeudi 29 Février : 20h30,17 rue des Carmes,Paris 5e,7-31 €
354,András Schiff,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 1er Mars : 20h00,17 rue des Carmes,Paris 5e,unknown
355,Pascal Mantin,Église Saint-Éphrem,Vendredi 1er Mars : 20h00,17 rue des Carmes,Paris 5e,16-25 €
356,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 1er Mars : 20h45,17 rue des Carmes,Paris 5e,22-44 €
357,Les Clefs de l'orchestre de Jean-François Zygel,Maison de la Radio et de la Musique,"Samedi 2 Mars : 14h30, 20h00",17 rue des Carmes,Paris 5e,unknown
358,Con brio,Salle Gaveau,Samedi 2 Mars : 16h00,17 rue des Carmes,Paris 5e,unknown
