nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Concert du Nouvel An,Maison de la Radio et de la Musique,"['Samedi 30 Décembre : 20h00', ' Dimanche 31 Décembre : 20h00']","116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Alegria Orchestra et solistes,Église Saint-Paul-Saint-Louis,['Samedi 30 Décembre : 20h30'],"99 rue Saint-Antoine, Paris, France",Paris 4e,unknown,"(2.361743, 48.854759)",,,unknown,unknown
Chœur et Orchestre Paul Kuentz,Église de la Madeleine,['Samedi 30 Décembre : 20h30'],"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown
"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Notre-Dame-de-Lorette,['Dimanche 31 Décembre : 16h00'],"18 rue de Châteaudun, Paris, France",Paris 9e,unknown,"(2.339265, 48.876032)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,"['Dimanche 31 Décembre : 16h00', ' Mardi 2 Janvier : 18h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Thomas Ospital,Église Saint-Eustache,['Dimanche 31 Décembre : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.344672, 48.863765)",,,unknown,unknown
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Tour Eiffel,"['Dimanche 31 Décembre : 18h00', ' Lundi 1er Janvier : 18h00']","Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown
Lise Lienhard,Chapelle Saint-Jean,['Dimanche 31 Décembre : 18h00'],"67 rue Daguerre, Paris, France",Paris 14e,unknown,"(2.32592, 48.835249)",,,unknown,unknown
"Orchestre Les Solistes français, Paul Rouger et Sabine Revault d'Allonnes",Sainte-Chapelle - Palais de la Cité,['Dimanche 31 Décembre : 19h30'],"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown
Lucas Lipari et François Olivier,Église Saint-Eustache,['Dimanche 31 Décembre : 20h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,22-33 €,"(2.344672, 48.863765)",22.0,33.0,,27.5
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Église Saint-Germain-des-Prés,['Dimanche 31 Décembre : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Ensemble Kaléid,Église Saint-Séverin,['Dimanche 31 Décembre : 20h30'],"2 rue des Prêtres-Saint-Séverin, Paris, France",Paris 5e,unknown,"(2.345268, 48.852264)",,,unknown,unknown
"Euromusic Symphonic Orchestra, Chœur Hugues Reiner et solistes",Église Saint-Sulpice,['Dimanche 31 Décembre : 20h30'],"Place Saint-Sulpice, Paris, France",Paris 6e,unknown,"(2.33352, 48.851186)",,,unknown,unknown
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,"['Dim 31 Décembre : 20h30', ' Lun 1er Janvier : 16h00']","19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown
Orchestre Classik Ensemble et David Braccini,Tour Eiffel,['Lundi 1er Janvier : 16h00'],"Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown
Orchestre Les Violons de France,Église Saint-Eustache,['Lundi 1er Janvier : 16h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,22-33 €,"(2.344672, 48.863765)",22.0,33.0,,27.5
Quintette Les Virtuoses,Église Saint-Philippe-du-Roule,['Lundi 1er Janvier : 16h00'],"9 rue de Courcelles, Paris, France",Paris 8e,unknown,"(2.310576, 48.873814)",,,unknown,unknown
Diane Andersen et invités,L'Accord Parfait,['Lundi 1er Janvier : 17h00'],"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown
Concert du Nouvel An,Église de la Madeleine,['Lundi 1er Janvier : 19h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,['Lundi 1er Janvier : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,['Lundi 1er Janvier : 21h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Orchestre Les Violons de France,Église de la Madeleine,['Mardi 2 Janvier : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Georges Bériachvili,Théâtre de l'Île Saint-Louis,"['Mer 3 Janvier : 18h30', ' Dim 7 Janvier : 15h00']","39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
