nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Axel de Marnhac,Église Saint-Eustache,['Dimanche 14 Janvier : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown
Christian Wachter,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 14 Janvier : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
Kim Bernard et Na-Kyong Lee,L'Entrepôt,['Dimanche 14 Janvier : 17h30'],"7 rue Francis de Pressensé, Paris, France",Paris 14e,unknown,"(2.316516, 48.833947)",,,unknown,unknown
Quintette Pentagone,Église réformée de Port-Royal,['Dimanche 14 Janvier : 18h00'],"18 boulevard Arago, Paris, France",Paris 13e,unknown,"(2.349222, 48.836162)",,,unknown,unknown
Violette Erhart,Comédie Nation,['Dimanche 14 Janvier : 19h00'],"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)",16.0,22.0,,19.0
Pascal Mantin,Église Saint-Éphrem,['Lundi 15 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Grandeur et élégance,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 15 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Confluence,Amphithéâtre - Cité de la Musique-Philharmonie,['Lundi 15 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Bach : concertos pour violon(s),Chapelle royale - Château de Versailles,['Lundi 15 Janvier : 20h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Vivaldi : Sonates pour violoncelle,Théâtre des Bouffes du Nord,['Lundi 15 Janvier : 20h00'],"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)",,,unknown,unknown
Viktoria Postnikova,Théâtre des Champs-Élysées,['Mardi 16 Janvier : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Nemanja Radulović,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 16 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre de l'Opéra royal,Salle Gaveau,['Mardi 16 Janvier : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Olga Jegunova,Salle Cortot,['Mardi 16 Janvier : 20h30'],"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown
Valérie Aimard,Collège des Bernardins,['Mercredi 17 Janvier : 12h30'],"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown
"Clara & Robert Schumann, deux trios en miroir",Église réformée de la Bastille - Temple du Foyer de l'Âme,['Mercredi 17 Janvier : 12h30'],"7 bis rue du Pasteur Wagner, Paris, France",Paris 11e,unknown,"(2.369562, 48.855832)",,,unknown,unknown
Loann Fourmental,Église Saint-Éphrem,['Mercredi 17 Janvier : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre de Paris et Martin Fröst,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 17 Janvier : 20h00', ' Jeudi 18 Janvier : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Borodine,Salle des concerts - Cité de la Musique-Philharmonie,['Mercredi 17 Janvier : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Berlioz : Symphonie fantastique,Maison de la Radio et de la Musique,['Mercredi 17 Janvier : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Félicien Brut et Édouard Macarez,Le Bal Blomet,['Mercredi 17 Janvier : 20h00'],"33 rue Blomet, Paris, France",Paris 15e,unknown,"(2.306136, 48.84274)",,,unknown,unknown
Théo Ould,Café de la Danse,['Mercredi 17 Janvier : 20h00'],"5 passage Louis-Philippe, Paris, France",Paris 11e,unknown,"(2.372934, 48.854058)",,,unknown,unknown
Maha Zahid,Institut National des Jeunes Aveugles,['Jeudi 18 Janvier : 13h00'],"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,['Jeudi 18 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Quatuor Belcea,Salle des concerts - Cité de la Musique-Philharmonie,['Jeudi 18 Janvier : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Chœur de Grenelle,Église Saint-Roch,['Jeudi 18 Janvier : 20h30'],"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Quatuor Leonkoro,Amphithéâtre - Cité de la Musique-Philharmonie,['Vendredi 19 Janvier : 18h30'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Berlioz : Symphonie fantastique,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 19 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Modigliani,Salle des concerts - Cité de la Musique-Philharmonie,['Vendredi 19 Janvier : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Krzysztof Michalski,Église Saint-Éphrem,['Vendredi 19 Janvier : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Les Violons de France,Église de la Madeleine,"['Vendredi 19 Janvier : 20h30', ' Mardi 23 Janvier : 20h30']","Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Marie Dumas,Église Saint-Pierre de Montmartre,['Samedi 20 Janvier : 12h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
Empereur,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 20 Janvier : 15h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Ensemble Beata Musica,Église évangélique de Paris-Luxembourg,['Samedi 20 Janvier : 16h00'],"58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)",,,unknown,unknown
Chœur du cours Florent,Église de la Madeleine,['Samedi 20 Janvier : 16h00'],"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown
Pascal Mantin,Église Saint-Éphrem,['Samedi 20 Janvier : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Requiem solaire,Théâtre de l'Aquarium - Cartoucherie,['Samedi 20 Janvier : 18h00'],"route du Champ de Manœuvre (navette cartoucherie gratuite), Paris, France",Paris 12e,unknown,"(2.450645, 48.835062)",,,unknown,unknown
Romantiques allemands,Église réformée de Pentemont,['Samedi 20 Janvier : 18h00'],"106 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.3217, 48.85637)",,,unknown,unknown
Jasmina Kulaglich et Aurelienne Brauner,Conservatoire Rachmaninoff,['Samedi 20 Janvier : 19h00'],"26 avenue de New York, Paris, France",Paris 16e,unknown,"(2.295934, 48.863337)",,,unknown,unknown
Mahler Chamber Orchestra et Yuja Wang ,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 20 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Jérusalem,Salle des concerts - Cité de la Musique-Philharmonie,['Samedi 20 Janvier : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Bertrand Cervera,Église Saint-Germain-des-Prés,['Samedi 20 Janvier : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,['Samedi 20 Janvier : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Quatuor Hanson,Théâtre des Champs-Élysées,['Dimanche 21 Janvier : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Monteverdi : Vêpres de la Vierge,Chapelle royale - Château de Versailles,['Dimanche 21 Janvier : 15h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Duo Y'voir,Cathédrale américaine,['Dimanche 21 Janvier : 15h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Quatuor Hagen,Salle des concerts - Cité de la Musique-Philharmonie,['Dimanche 21 Janvier : 16h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Umberto Realino,Église Saint-Merry,['Dimanche 21 Janvier : 16h00'],"76 rue de la Verrerie, Paris, France",Paris 4e,unknown,"(2.350691, 48.858888)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Dimanche 21 Janvier : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Patrick Delabre,Église Sainte-Marie,['Dimanche 21 Janvier : 16h30'],"2 rue de l'Abbaye, Paris, France",Antony,unknown,"(2.336018, 48.854021)",,,unknown,unknown
"Sanae Rodière, Akie Kakehi, Marion Rodière et Akiko Takao",Église Notre-Dame-de-Compassion,['Dimanche 21 Janvier : 16h30'],"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown
Orchestre du campus d'Orsay,Campus d'Orsay - Amphithéâtre Henri Cartan,['Dimanche 21 Janvier : 17h00'],"598 rue André Rivière, Paris, France",Orsay,unknown,"(2.309088, 48.87276)",,,unknown,unknown
Thomas Ospital,Église Saint-Eustache,['Dimanche 21 Janvier : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown
Pierre Hamon,Église Saint-Pierre de Montmartre,['Dimanche 21 Janvier : 18h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
Quatuor Modigliani et Quatuor Leonkoro,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 21 Janvier : 19h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,['Dimanche 21 Janvier : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Lundi 22 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Royal Concertgebouw Orchestra et Emanuel Ax,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 22 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
« Atys » de Lully,Opéra royal - Château de Versailles,['Lundi 22 Janvier : 20h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,83-128 €,"(2.352558, 48.881934)",83.0,128.0,,105.5
"Mozart, mon amour",Salle Gaveau,['Lundi 22 Janvier : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Nouveaux Mondes,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 23 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Valérie Aimard,Collège des Bernardins,['Mercredi 24 Janvier : 12h30'],"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,"['Mercredi 24 Janvier : 19h00', ' Mardi 30 Janvier : 19h30']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Airs et ensembles d'opéra,Opéra Garnier,['Mercredi 24 Janvier : 20h00'],"place de l'Opéra, Paris, France",Paris 9e,unknown,"(2.332168, 48.871117)",,,unknown,unknown
Orchestre de Paris et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 24 Janvier : 20h00', ' Jeudi 25 Janvier : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Les Affranchi.e.s,ECUJE,['Mercredi 24 Janvier : 20h00'],"119 rue La Fayette, Paris, France",Paris 10e,unknown,"(2.352993, 48.878354)",,,unknown,unknown
"L'art des études, rencontre entre l'artisanat européen et japonais",Musée Guimet,['Mercredi 24 Janvier : 20h00'],"6 place d'Iéna, Paris, France",Paris 16e,unknown,"(2.293702, 48.865019)",,,unknown,unknown
Gary Hoffman et David Selig,Église Saint-Paul de la Plaine,"['Jeu 25 Janvier : 12h30', ' 20h00']","29 rue du Landy, Paris, France",Saint-Denis,unknown,"(2.379588, 48.851389)",,,unknown,unknown
Pascal Gallet,Institut National des Jeunes Aveugles,['Jeudi 25 Janvier : 13h00'],"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown
Carl Orff : Carmina Burana,Théâtre des Champs-Élysées,"['Jeudi 25 Janvier : 19h30', ' Vendredi 26 Janvier : 19h30']","15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,['Jeudi 25 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Thomas Enhco et Vassilena Serafimova,Théâtre de l'Œuvre,['Jeudi 25 Janvier : 20h00'],"55 rue de Clichy, Paris, France",Paris 9e,unknown,"(2.305376, 48.899318)",,,unknown,unknown
Cyrille Dubois et Tristan Raës,Amphithéâtre - Cité de la Musique-Philharmonie,['Jeudi 25 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
David Lively et Busoni,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Jeudi 25 Janvier : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Orchestre philharmonique de Radio France et Renaud Capuçon,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 26 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
"Mathieu Salama, Bruno Angé et Olivier Pelmoine",Espace Jules Vallès,['Vendredi 26 Janvier : 20h00'],"72 avenue Félix Faure, Paris, France",Paris 15e,unknown,"(2.285064, 48.840074)",,,unknown,unknown
Maîtres de Notre-Dame,Auditorium Michel Laclotte - Musée du Louvre,['Vendredi 26 Janvier : 20h00'],"Entrée principale : Pyramide (cour Napoléon), Paris, France",Paris 1er,unknown,"(2.445701, 48.83407)",,,unknown,unknown
Martin Beau,Église Saint-Éphrem,['Vendredi 26 Janvier : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,['Vendredi 26 Janvier : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,['Samedi 27 Janvier : 15h30'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,['Samedi 27 Janvier : 16h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Ensemble Beata Musica,Église Sainte-Rosalie,['Samedi 27 Janvier : 16h00'],"50 boulevard Auguste-Blanqui, Paris, France",Paris 13e,unknown,"(2.349777, 48.829932)",,,unknown,unknown
Pelléas etc.,Salle des concerts - Cité de la Musique-Philharmonie,"['Samedi 27 Janvier : 20h00', ' Dimanche 28 Janvier : 16h00']","221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Strada et Simon Zaoui,Le Studio - Philharmonie de Paris,['Samedi 27 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 27 Janvier : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
L'invitation au voyage,Archives nationales,['Samedi 27 Janvier : 20h00'],"60 rue des Francs-Bourgeois Hôtel de Soubise, Paris, France",Paris 3e,unknown,"(2.357272, 48.859963)",,,unknown,unknown
"Joseph Pernoo, Claire Thirion et Karine Sélo",L'Accord Parfait,['Samedi 27 Janvier : 20h00'],"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,['Samedi 27 Janvier : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Ensemble vocal Largentière,Église Saint-Jean-Baptiste,['Samedi 27 Janvier : 20h30'],"1 rue du Docteur Berger, Paris, France",Sceaux,unknown,"(2.295751, 48.776744)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Louis-en-l'Île,['Sam 27 Janvier : 20h45'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0
"Joseph Pernoo, Vincent Penot, Claire Thirion et Karine Sélo",L'Accord Parfait,['Dimanche 28 Janvier : 11h00'],"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown
Une après-midi avec Fauré,Musée de la Musique - Cité de la Musique-Philharmonie,"['Dimanche 28 Janvier : 14h30', ' 15h30']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Jules Hemmi,Cathédrale américaine,['Dimanche 28 Janvier : 15h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Concert inaugural - 1873,Salle Gaveau,['Dimanche 28 Janvier : 16h00'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Nour Ayadi,La Scala Paris,['Dimanche 28 Janvier : 16h00'],"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown
Ensemble vocal Largentière,Église Saint-Jacques-du-Haut-Pas,['Dimanche 28 Janvier : 16h00'],"252 rue Saint-Jacques, Paris, France",Paris 5e,unknown,"(2.341585, 48.843688)",,,unknown,unknown
Chœur de Grenelle,Église Saint-Ferdinand-des-Ternes,['Dimanche 28 Janvier : 16h00'],"25 rue d'Armaillé, Paris, France",Paris 17e,unknown,"(2.291056, 48.878665)",,,unknown,unknown
Le Madrigal de Suresnes,Église Notre-Dame-de-Compassion,['Dimanche 28 Janvier : 16h30'],"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown
Evgeny Kissin,Théâtre des Champs-Élysées,['Dimanche 28 Janvier : 17h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Dimanche 28 Janvier : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Baptiste-Florian Marle-Ouvrard,Église Saint-Eustache,['Dimanche 28 Janvier : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown
Alice Ferrière et Nicolas Royez,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 28 Janvier : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
Alexandra Bartfeld,Église Saint-Pierre de Montmartre,['Dimanche 28 Janvier : 18h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
« Les Soldats » de Zimmermann,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 28 Janvier : 19h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Loann Fourmental,Église Saint-Éphrem,['Lundi 29 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Les trois contre-ténors,Opéra royal - Château de Versailles,['Lundi 29 Janvier : 20h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Quatuor Cambini et Judith van Wanroij,Grand Salon du Musée de l'Armée - Musée de l'Armée,['Lundi 29 Janvier : 20h00'],"129 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Jenny Daviet et Alphonse Cemin,Athénée Théâtre Louis-Jouvet,['Lundi 29 Janvier : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5
Yusif Eyvazov et Murad Adigezalzade,Salle Gaveau,['Lundi 29 Janvier : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Haendel : Aggripine,Auditorium Patrick Devedjian - La Seine Musicale,['Mardi 30 Janvier : 19h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
« Alceste » de Lully,Opéra royal - Château de Versailles,['Mardi 30 Janvier : 20h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0
Valérie Aimard,Collège des Bernardins,['Mercredi 31 Janvier : 12h30'],"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown
Martin Beau,Église Saint-Éphrem,['Mercredi 31 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
"Sunwook Kim, Clara-Jumi Kang et Edgar Moreau",Théâtre des Champs-Élysées,['Mercredi 31 Janvier : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Orchestre de Paris,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 31 Janvier : 20h00', ' Jeudi 1er Février : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Teva Mazoyer,Église Saint-Éphrem,"['Jeudi 1er Février : 17h30', ' Mardi 6 Février : 18h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
« Alceste » de Lully,Théâtre des Champs-Élysées,['Jeudi 1er Février : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)",28.0,89.0,,58.5
Beethoven : Symphonie n°7,Maison de la Radio et de la Musique,['Jeudi 1er Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Batailles et bruits de guerre,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Jeudi 1er Février : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Gershwin : Rhapsody in Blue,Auditorium Patrick Devedjian - La Seine Musicale,['Jeudi 1er Février : 20h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Vendredi 2 Février : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
« Rinaldo » de Haendel,Théâtre des Champs-Élysées,['Vendredi 2 Février : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,28-61 €,"(2.303279, 48.865672)",28.0,61.0,,44.5
Brahms : Un Requiem allemand,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 2 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Vendredi 2 Février : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Pascal Mantin,Église Saint-Éphrem,['Samedi 3 Février : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Singin' in the Rain,Amphithéâtre - Cité de la Musique-Philharmonie,['Samedi 3 Février : 18h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Vous trouvez ça classique ? Concerto pour piano n°2 de Rachmaninov,Auditorium Patrick Devedjian - La Seine Musicale,['Samedi 3 Février : 19h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Le violon de Beethoven,Opéra de Massy,['Samedi 3 Février : 20h00'],"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 3 Février : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
