,nom,etablissement,Date,adresse,commune,prix
0,Tout va bien se passer,Comédie Saint-Martin,<b>Du 9 octobre 2023 au 31 mars 2024</b>,18 boulevard Saint-Martin,Paris 10e,11-76 €
1,L'Embarras du choix,Théâtre de la Gaîté-Montparnasse,<b>Du 7 janvier 2022 au 30 juin 2024</b>,18 boulevard Saint-Martin,Paris 10e,22-71 €
2,Chers parents,Théâtre de Paris,<b>Du 11 octobre 2023 au 25 février 2024</b>,18 boulevard Saint-Martin,Paris 10e,33-48 €
3,Dernier coup de ciseaux,Théâtre des Mathurins,<b>Du 9 juin 2021 au 18 mai 2024</b>,18 boulevard Saint-Martin,Paris 10e,16-97 €
4,Edmond,Théâtre du Palais-Royal,<b>Du 17 août 2023 au 15 juin 2024</b>,18 boulevard Saint-Martin,Paris 10e,20-104 €
5,La Maison du loup,Théâtre Rive Gauche,<b>Du 14 septembre 2023 au 31 mars 2024</b>,18 boulevard Saint-Martin,Paris 10e,20-88 €
6,"C'est décidé, je deviens une connasse !",Comédie Oberkampf,<b>Du 15 septembre 2023 au 5 mai 2024</b>,18 boulevard Saint-Martin,Paris 10e,11-49 €
7,Notre vie dans l'Art,Théâtre du Soleil - Cartoucherie,<b>Du 6 décembre 2023 au 3 mars 2024</b>,18 boulevard Saint-Martin,Paris 10e,16-39 €
8,Une idée géniale,Théâtre Michel,<b>Du 19 août 2022 au 31 décembre 2023</b>,18 boulevard Saint-Martin,Paris 10e,49 €
9,Hernie fiscale,Comédie Saint-Martin,<b>Du 12 octobre 2023 au 31 mars 2024</b>,18 boulevard Saint-Martin,Paris 10e,18-76 €
10,Oublie-moi,Théâtre Actuel La Bruyère,<b>Du 29 août 2023 au 30 mars 2024</b>,18 boulevard Saint-Martin,Paris 10e,26-54 €
11,Le Malade imaginaire,Théâtre des Champs-Élysées,<b>Du 21 décembre 2023 au 7 janvier 2024</b>,18 boulevard Saint-Martin,Paris 10e,16 €
12,Dîner de famille,Café de la Gare,<b>Du 22 juin 2019 au 2 février 2025</b>,18 boulevard Saint-Martin,Paris 10e,18-29 €
13,Berlin Berlin,Théâtre Fontaine,<b>Du 7 septembre 2023 au 28 avril 2024</b>,18 boulevard Saint-Martin,Paris 10e,24-53 €
14,Un chapeau de paille d'Italie,Théâtre de la Porte Saint-Martin,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,18 boulevard Saint-Martin,Paris 10e,15-48 €
15,Mes copains d'abord,Le Grand Point Virgule,<b>Du 2 juin 2023 au 30 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,18-49 €
16,Un chalet à Gstaad,Théâtre des Nouveautés,<b>Du 1 décembre 2023 au 28 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,20-44 €
17,Changer l'eau des fleurs,Théâtre de la Renaissance,<b>Du 17 août 2023 au 7 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-54 €
18,Les femmes ont toujours raison les hommes n'ont jamais tort,Théâtre Le Passage vers les Étoiles,<b>Du 17 septembre 2021 au 5 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-55 €
19,La Machine de Turing,Théâtre du Palais-Royal,<b>Du 18 août 2023 au 27 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-79 €
20,La Note,Théâtre des Bouffes Parisiens,<b>Du 21 septembre 2023 au 31 décembre 2023</b>,5 rue Nicolas-Appert,Paris 11e,unknown
21,L'Heure des assassins,Théâtre du Lucernaire,<b>Du 25 octobre 2023 au 21 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown
22,Cyrano de Bergerac,Comédie-Française - Salle Richelieu,<b>Du 8 décembre 2023 au 8 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown
23,Pourquoi les femmes aiment les connards ?,La Grande Comédie,<b>Du 22 novembre 2023 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,10-30 €
24,Une bonne bière,Le Funambule Montmartre,<b>Du 19 octobre 2023 au 25 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,11-33 €
25,Le Coucou,Théâtre Edgar,<b>Du 3 octobre 2023 au 14 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,23-41 €
26,Une journée particulière,Théâtre de l'Atelier,<b>Du 2 décembre 2023 au 31 décembre 2023</b>,5 rue Nicolas-Appert,Paris 11e,33-51 €
27,Révélations,Théâtre de Passy,<b>Du 25 novembre 2023 au 16 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-46 €
28,L'Amour chez les autres,Théâtre Édouard VII,<b>Du 18 janvier 2024 au 19 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,30-75 €
29,"Et pendant ce temps, Simone veille !",Comédie Bastille,<b>Du 13 mai 2017 au 30 juin 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-64 €
30,Arsène Lupin,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 28 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,33-55 €
31,Le Bracelet,Théâtre des Nouveautés,<b>Du 14 février 2024 au 5 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,20-79 €
32,Lapin,Théâtre Édouard VII,<b>Du 21 septembre 2023 au 6 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-120 €
33,Le Cercle des poètes disparus,Théâtre Antoine,<b>Du 23 janvier 2024 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,22-79 €
34,Les gros patinent bien,Théâtre Saint-Georges,<b>Du 15 septembre 2023 au 24 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,24-66 €
35,La Fontaine et le confinement,Théâtre Montparnasse,<b>Du 9 octobre 2023 au 4 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown
36,Stars d'un soir,La Grande Comédie,<b>Du 19 octobre 2023 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-98 €
37,"C'est beau l'amour, mais ça part toujours en couilles !",La Comédie du Onzième,<b>Du 14 octobre 2022 au 3 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-39 €
38,Le Voyage de Gulliver,Athénée Théâtre Louis-Jouvet,<b>Du 21 décembre 2023 au 4 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-40 €
39,Le Bourgeois gentilhomme,Comédie-Française - Salle Richelieu,<b>Du 17 novembre 2023 au 15 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown
40,"Kessel, la liberté à tout prix",Théâtre du Lucernaire,<b>Du 30 août 2023 au 7 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown
41,"Kessel, la liberté à tout prix",Théâtre Rive Gauche,<b>Du 12 janvier 2024 au 21 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-31 €
42,Moby Dick,Théâtre du Lucernaire,<b>Du 13 décembre 2023 au 3 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,16-55 €
43,Interruption,Théâtre Antoine,<b>Du 18 septembre 2023 au 13 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,21-50 €
44,Les Téméraires,Comédie Bastille,<b>Du 7 septembre 2023 au 16 juin 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-64 €
45,Un léger doute,Théâtre de la Renaissance,<b>Du 29 septembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,16-89 €
46,Toute l'histoire de la peinture en moins de deux heures,Le 13e Art,<b>Du 9 octobre 2023 au 3 juin 2024</b>,37 bis bd de la Chapelle,Paris 10e,16-68 €
47,Le Repas des fauves,Théâtre Hébertot,<b>Du 14 septembre 2023 au 29 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,15-55 €
48,Le Horla,À la Folie Théâtre,<b>Du 16 novembre 2023 au 4 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,22-39 €
49,Le Concierge,La Divine Comédie,<b>Du 23 septembre 2023 au 30 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,17-22 €
50,Piège pour un homme seul,Théâtre de la Michodière,<b>Du 14 septembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,26-71 €
51,"La Reine des neiges, l'histoire oubliée",Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,37 €
52,La femme n'existe plus,Théâtre du Rond-Point,<b>Du 6 décembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,17-34 €
53,Bunker : Lettres de Magda Goebbels,Théâtre Tristan-Bernard,<b>Du 1 février 2024 au 28 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,31-39 €
54,Le Montespan,Théâtre Actuel La Bruyère,<b>Du 25 novembre 2023 au 4 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,26-73 €
55,Farces et nouvelles de Tchekhov,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,33-55 €
