nom,heure,date,etablissement,prix,adresse,commune,geo
Wonka,19:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La Tresse,16:25,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La Tresse,19:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,08:55,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,10:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,11:25,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,12:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,14:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,15:25,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,16:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,18:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Aquaman et le Royaume perdu,19:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,11:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,14:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,17:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Chasse gardée,09:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Chasse gardée,11:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Chasse gardée,14:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Chasse gardée,16:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Chasse gardée,19:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,09:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,11:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,14:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
