Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
177;Gisèle Halimi : Une farouche liberté;La Scala Paris;Du 27 février 2024 au 31 mars 2024;13 boulevard de Strasbourg;Paris 10e;15-46 €;2024-02-27;2024-03-31;15.0;46.0;;30.5;(48.870299, 2.354572)
178;La Cantatrice chauve + La Leçon;Théâtre de la Huchette;Du 16 février 1957 au 13 juillet 2024;23 rue de la Huchette;Paris 5e;34 €;1957-02-16;2024-07-13;;;34.0;34.0;(48.853025, 2.345354)
179;Sentinelles;Théâtre du Rond-Point;Du 30 janvier 2024 au 10 février 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;42 €;2024-01-30;2024-02-10;;;42.0;42.0;(48.867784, 2.310549)
180;Mozart, mon amour;Théâtre de Poche-Montparnasse;Du 4 septembre 2023 au 4 mars 2024;75 boulevard du Montparnasse;Paris 6e;28 €;2023-09-04;2024-03-04;;;28.0;28.0;(48.843728, 2.324991)
181;Zoé;Théâtre de Belleville;Du 5 janvier 2024 au 29 février 2024;16 passage Piver;Paris 11e;13-30 €;2024-01-05;2024-02-29;13.0;30.0;;21.5;(48.8709, 2.374281)
182;Les Chaises;Théâtre du Lucernaire;Du 10 janvier 2024 au 10 mars 2024;53 rue Notre-Dame-des-Champs;Paris 6e;16-33 €;2024-01-10;2024-03-10;16.0;33.0;;24.5;(48.844242, 2.330403)
183;Camus par Enthoven;Le Théâtre Libre;Du 4 octobre 2023 au 5 février 2024;4 boulevard de Strasbourg;Paris 10e;32 €;2023-10-04;2024-02-05;;;32.0;32.0;(48.869821, 2.354771)
184;À la recherche du temps perdu;Théâtre de la Contrescarpe;Du 5 novembre 2023 au 31 décembre 2023;5 rue Blainville;Paris 5e;12-33 €;2023-11-05;2023-12-31;12.0;33.0;;22.5;(48.844462, 2.348842)
185;Dom Juan;Odéon - Théâtre de l'Europe;Du 23 avril 2024 au 19 mai 2024;place de l'Odéon;Paris 6e;unknown;2024-04-23;2024-05-19;;;unknown;unknown;(48.849898, 2.338717)
186;Bric à Brac;Théâtre La Croisée des Chemins;Du 16 septembre 2023 au 30 décembre 2023;120 bis rue Haxo;Paris 19e;13-22 €;2023-09-16;2023-12-30;13.0;22.0;;17.5;(48.876727, 2.402335)
187;La Fontaine en fables et en notes;Théâtre de Poche-Montparnasse;Du 18 septembre 2023 au 25 mars 2024;75 boulevard du Montparnasse;Paris 6e;28 €;2023-09-18;2024-03-25;;;28.0;28.0;(48.843728, 2.324991)
188;Les Diaboliques;Théâtre de Poche-Montparnasse;Du 16 janvier 2024 au 10 mars 2024;75 boulevard du Montparnasse;Paris 6e;23-28 €;2024-01-16;2024-03-10;23.0;28.0;;25.5;(48.843728, 2.324991)
189;Une fille d'Ève;Guichet-Montparnasse;Du 3 novembre 2023 au 28 janvier 2024;15 rue du Maine;Paris 14e;24 €;2023-11-03;2024-01-28;;;24.0;24.0;(48.840563, 2.322325)
190;Hold up et bras cassés;Théâtre Montmartre Galabru;Du 22 septembre 2023 au 29 décembre 2023;4 rue de l'Armée d'Orient;Paris 18e;16-24 €;2023-09-22;2023-12-29;16.0;24.0;;20.0;(48.887245, 2.334537)
191;Un prince;Comédie des Champs-Élysées;Du 24 janvier 2024 au 31 mars 2024;15 avenue Montaigne;Paris 8e;49 €;2024-01-24;2024-03-31;;;49.0;49.0;(48.865672, 2.303279)
192;La Leçon;Théâtre de la Huchette;Du 18 février 1957 au 13 juillet 2024;23 rue de la Huchette;Paris 5e;23 €;1957-02-18;2024-07-13;;;23.0;23.0;(48.853025, 2.345354)
193;Yann Marguet : Exister, définition;Le Théâtre Libre;Du 5 octobre 2023 au 30 décembre 2023;4 boulevard de Strasbourg;Paris 10e;unknown;2023-10-05;2023-12-30;;;unknown;unknown;(48.869821, 2.354771)
194;Le Joueur d'échecs;Théâtre L'Essaïon;Du 16 octobre 2023 au 30 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2023-10-16;2024-01-30;16.0;28.0;;22.0;(48.859764, 2.353086)
