Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
258;L'Hôtel des sept;Comédie Saint-Michel;Du 10 janvier 2024 au 3 mai 2024;95 bd Saint-Michel;Paris 5e;22-35 €;2024-01-10;2024-05-03;22.0;35.0;;28.5;(48.844567, 2.339549)
259;L'École des maris;Théâtre du Nord-Ouest;Du 14 novembre 2023 au 28 décembre 2023;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-11-14;2023-12-28;;;unknown;unknown;(48.872387, 2.343063)
260;Trafiquée;Théâtre La Croisée des Chemins;Du 5 novembre 2023 au 28 décembre 2023;120 bis rue Haxo;Paris 19e;13-22 €;2023-11-05;2023-12-28;13.0;22.0;;17.5;(48.876727, 2.402335)
261;Francis : Itinéraire d'un enfant raté;La Divine Comédie;Du 8 janvier 2024 au 29 avril 2024;2 rue Saulnier;Paris 9e;17-22 €;2024-01-08;2024-04-29;17.0;22.0;;19.5;(48.874212, 2.34436)
262;Un sentiment de vie;Théâtre des Bouffes du Nord;Du 11 janvier 2024 au 27 janvier 2024;37 bis bd de la Chapelle;Paris 10e;40 €;2024-01-11;2024-01-27;;;40.0;40.0;(48.884177, 2.358623)
263;N’importe où hors du monde;Guichet-Montparnasse;Du 14 décembre 2023 au 28 mars 2024;15 rue du Maine;Paris 14e;24 €;2023-12-14;2024-03-28;;;24.0;24.0;(48.840563, 2.322325)
264;Le Journal d’une femme de chambre;Théâtre Darius Milhaud;Du 12 septembre 2023 au 25 juin 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-09-12;2024-06-25;13.0;15.0;;14.0;(48.885938, 2.393208)
265;Inscape Game;Le Funambule Montmartre;Du 6 novembre 2023 au 2 janvier 2024;53 rue des Saules;Paris 18e;11-33 €;2023-11-06;2024-01-02;11.0;33.0;;22.0;(48.890751, 2.340416)
266;Radicale;Théâtre L'Essaïon;Du 31 août 2023 au 13 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2023-08-31;2024-01-13;13.0;28.0;;20.5;(48.859764, 2.353086)
267;Il faut qu'une porte soit ouverte ou fermée;Théâtre L'Essaïon;Du 3 octobre 2023 au 9 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2023-10-03;2024-01-09;13.0;28.0;;20.5;(48.859764, 2.353086)
268;Montée aux calvaires;Théâtre Darius Milhaud;Du 15 décembre 2023 au 26 janvier 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-12-15;2024-01-26;13.0;15.0;;14.0;(48.885938, 2.393208)
269;Gamètes;Théâtre de Belleville;Du 6 décembre 2023 au 30 décembre 2023;16 passage Piver;Paris 11e;13-30 €;2023-12-06;2023-12-30;13.0;30.0;;21.5;(48.8709, 2.374281)
270;Claudel en partage;Comédie Saint-Michel;Du 6 septembre 2023 au 7 janvier 2024;95 bd Saint-Michel;Paris 5e;22-40 €;2023-09-06;2024-01-07;22.0;40.0;;31.0;(48.844567, 2.339549)
271;Quinder extra;Théâtre des Blancs Manteaux;Du 24 octobre 2022 au 30 mars 2024;15 rue des Blancs Manteaux;Paris 4e;13-74 €;2022-10-24;2024-03-30;13.0;74.0;;43.5;(48.85874, 2.357432)
272;Jours de joie;Odéon - Ateliers Berthier;Du 20 avril 2024 au 5 mai 2024;1 rue André Suares (angle du bd Berthier);Paris 17e;unknown;2024-04-20;2024-05-05;;;unknown;unknown;(48.893831, 2.311595)
273;J'accuse [France];Théâtre 13 - Bibliothèque;Du 10 janvier 2024 au 20 janvier 2024;30 rue du Chevaleret;Paris 13e;28 €;2024-01-10;2024-01-20;;;28.0;28.0;(48.827622, 2.377256)
274;Le Joueur d'échecs;Espace Marais;Du 24 septembre 2023 au 7 janvier 2024;22 rue Beautreillis;Paris 4e;13-37 €;2023-09-24;2024-01-07;13.0;37.0;;25.0;(48.853412, 2.364236)
275;La Folle Histoire de l'île mystérieuse;Les Enfants du Paradis;Du 20 janvier 2024 au 14 avril 2024;34 rue Richer;Paris 9e;13-32 €;2024-01-20;2024-04-14;13.0;32.0;;22.5;(48.874091, 2.344527)
276;Backlash;Théâtre de Belleville;Du 6 janvier 2024 au 31 mars 2024;16 passage Piver;Paris 11e;13-30 €;2024-01-06;2024-03-31;13.0;30.0;;21.5;(48.8709, 2.374281)
277;L'Arnaqueuse;Théâtre Mélo d'Amélie;Du 13 septembre 2023 au 27 décembre 2023;4 rue Marie-Stuart;Paris 2e;11-29 €;2023-09-13;2023-12-27;11.0;29.0;;20.0;(48.865018, 2.348353)
278;Quand je serai un homme;Théâtre L'Essaïon;Du 19 janvier 2024 au 13 avril 2024;6 rue Pierre-au-Lard;Paris 4e;11-28 €;2024-01-19;2024-04-13;11.0;28.0;;19.5;(48.859764, 2.353086)
279;Éric Chartier;Au Port du Salut;Du 8 novembre 2023 au 26 juin 2024;163 rue St-Jacques;Paris 5e;unknown;2023-11-08;2024-06-26;;;unknown;unknown;(48.845494, 2.343017)
280;Gelsomina;À la Folie Théâtre;Du 7 janvier 2024 au 5 mai 2024;6 rue de la Folie-Méricourt;Paris 11e;18-24 €;2024-01-07;2024-05-05;18.0;24.0;;21.0;(48.861536, 2.374718)
281;Trilogie des secrets : Curtain Call!;La Colline - Théâtre national;Du 9 janvier 2024 au 21 janvier 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-01-09;2024-01-21;11.0;36.0;;23.5;(48.864546, 2.397659)
282;Racine par la racine;Théâtre L'Essaïon;Du 4 octobre 2023 au 26 juin 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2023-10-04;2024-06-26;16.0;28.0;;22.0;(48.859764, 2.353086)
283;Eccentric;La Nouvelle Ève;Du 15 novembre 2023 au 27 décembre 2023;25 rue Pierre Fontaine;Paris 9e;21-30 €;2023-11-15;2023-12-27;21.0;30.0;;25.5;(48.882017, 2.333724)
284;Avant la terreur;La Colline - Théâtre national;Du 15 juin 2024 au 27 juin 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-06-15;2024-06-27;11.0;36.0;;23.5;(48.864546, 2.397659)
285;Personne;Théâtre 14;Du 9 janvier 2024 au 27 janvier 2024;20 avenue Marc-Sangnier;Paris 14e;11-28 €;2024-01-09;2024-01-27;11.0;28.0;;19.5;(48.825896, 2.306846)
286;L'Amour de l'art;Théo Théâtre;Du 27 janvier 2024 au 30 mars 2024;20 rue Théodore-Deck;Paris 15e;18 €;2024-01-27;2024-03-30;;;18.0;18.0;(48.837203, 2.288829)
287;James Brown mettait des bigoudis;Théâtre Marigny;Du 28 mars 2024 au 5 mai 2024;Carré Marigny;Paris 8e;10-57 €;2024-03-28;2024-05-05;10.0;57.0;;33.5;(48.869995, 2.315462)
288;Incandescences;Théâtre de la Tempête - Cartoucherie;Du 29 février 2024 au 31 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-02-29;2024-03-31;11.0;26.0;;18.5;(48.835062, 2.450645)
289;Crécelle;Guichet-Montparnasse;Du 4 janvier 2024 au 25 février 2024;15 rue du Maine;Paris 14e;24 €;2024-01-04;2024-02-25;;;24.0;24.0;(48.840563, 2.322325)
290;Crossed;Théâtre Darius Milhaud;Du 8 janvier 2024 au 25 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-08;2024-03-25;13.0;20.0;;16.5;(48.885938, 2.393208)
291;Tout le temps du monde;La Colline - Théâtre national;Du 30 janvier 2024 au 11 février 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-01-30;2024-02-11;11.0;36.0;;23.5;(48.864546, 2.397659)
292;Chateaubriand, Mémoires d'outre-tombe;Théâtre de Poche-Montparnasse;Du 18 janvier 2024 au 16 mars 2024;75 boulevard du Montparnasse;Paris 6e;20-24 €;2024-01-18;2024-03-16;20.0;24.0;;22.0;(48.843728, 2.324991)
293;Bérénice;Théâtre Darius Milhaud;Du 10 janvier 2024 au 27 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-10;2024-03-27;13.0;20.0;;16.5;(48.885938, 2.393208)
294;Stigmates de la gloire;À la Folie Théâtre;Du 16 novembre 2023 au 3 février 2024;6 rue de la Folie-Méricourt;Paris 11e;22-28 €;2023-11-16;2024-02-03;22.0;28.0;;25.0;(48.861536, 2.374718)
295;Fin de partie;Théâtre de l'Atelier;Du 5 juin 2024 au 14 juillet 2024;1 place Charles-Dullin;Paris 18e;23-43 €;2024-06-05;2024-07-14;23.0;43.0;;33.0;(48.88338, 2.342473)
296;Pauline & Carton;La Scala Paris;Du 16 mars 2024 au 23 juin 2024;13 boulevard de Strasbourg;Paris 10e;20-25 €;2024-03-16;2024-06-23;20.0;25.0;;22.5;(48.870299, 2.354572)
297;Macbeth;Théâtre L'Essaïon;Du 4 avril 2024 au 15 juin 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-04-04;2024-06-15;16.0;28.0;;22.0;(48.859764, 2.353086)
298;Le Marchand de Venise;Théâtre de l'Épée de Bois - Cartoucherie;Du 15 mars 2024 au 31 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-03-15;2024-03-31;11.0;24.0;;17.5;(48.835062, 2.450645)
299;Second souffle;Le Funambule Montmartre;Du 5 février 2024 au 23 avril 2024;53 rue des Saules;Paris 18e;11-33 €;2024-02-05;2024-04-23;11.0;33.0;;22.0;(48.890751, 2.340416)
300;Les Paravents;Odéon - Théâtre de l'Europe;Du 31 mai 2024 au 19 juin 2024;place de l'Odéon;Paris 6e;unknown;2024-05-31;2024-06-19;;;unknown;unknown;(48.849898, 2.338717)
301;Hubris;Le Funambule Montmartre;Du 18 janvier 2024 au 11 février 2024;53 rue des Saules;Paris 18e;11-33 €;2024-01-18;2024-02-11;11.0;33.0;;22.0;(48.890751, 2.340416)
302;Splendeurs et misères;Théâtre de l'Épée de Bois - Cartoucherie;Du 22 février 2024 au 10 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-22;2024-03-10;11.0;24.0;;17.5;(48.835062, 2.450645)
303;Les Bonnes;Théâtre 14;Du 27 février 2024 au 23 mars 2024;20 avenue Marc-Sangnier;Paris 14e;11-28 €;2024-02-27;2024-03-23;11.0;28.0;;19.5;(48.825896, 2.306846)
304;Frank Henry : Gangster ni fier ni honteux;La Nouvelle Ève;Du 26 janvier 2024 au 30 mars 2024;25 rue Pierre Fontaine;Paris 9e;39-46 €;2024-01-26;2024-03-30;39.0;46.0;;42.5;(48.882017, 2.333724)
305;Music-Hall;Théâtre du Nord-Ouest;Du 18 novembre 2023 au 1 janvier 2024;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-11-18;2024-01-01;;;unknown;unknown;(48.872387, 2.343063)
306;Le Triomphe de l'amour;Théâtre du Nord-Ouest;Du 13 mai 2023 au 27 décembre 2023;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-05-13;2023-12-27;;;unknown;unknown;(48.872387, 2.343063)
307;Rendez-vous à l'Élysée;Théâtre de Nesle;Du 2 décembre 2023 au 20 janvier 2024;8 rue Nesle;Paris 6e;16 €;2023-12-02;2024-01-20;;;16.0;16.0;(48.855237, 2.339104)
308;L'Ordinaire Histoire d'Ernest Boubouroche;Théâtre de Nesle;Du 10 novembre 2023 au 31 décembre 2023;8 rue Nesle;Paris 6e;19 €;2023-11-10;2023-12-31;;;19.0;19.0;(48.855237, 2.339104)
309;L'Abus d'amour;Comédie Saint-Michel;Du 8 septembre 2023 au 6 janvier 2024;95 bd Saint-Michel;Paris 5e;22-29 €;2023-09-08;2024-01-06;22.0;29.0;;25.5;(48.844567, 2.339549)
310;Je me suis perdue en chemin [pour toi];Théâtre Darius Milhaud;Du 4 janvier 2024 au 11 avril 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-04;2024-04-11;13.0;20.0;;16.5;(48.885938, 2.393208)
311;Le Dictionnaire amoureux de l’inutile;La Scala Paris;Du 18 mai 2024 au 1 juin 2024;13 boulevard de Strasbourg;Paris 10e;15-36 €;2024-05-18;2024-06-01;15.0;36.0;;25.5;(48.870299, 2.354572)
312;Le Mandat;Théâtre de la Tempête - Cartoucherie;Du 18 avril 2024 au 5 mai 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-04-18;2024-05-05;11.0;26.0;;18.5;(48.835062, 2.450645)
313;Love Addict;Théâtre Le Passage vers les Étoiles;Du 20 octobre 2023 au 27 janvier 2024;17 cité Joly;Paris 11e;13-30 €;2023-10-20;2024-01-27;13.0;30.0;;21.5;(48.862856, 2.382571)
314;Cache cache nerveux;Comédie Saint-Michel;Du 9 septembre 2023 au 7 janvier 2024;95 bd Saint-Michel;Paris 5e;22-29 €;2023-09-09;2024-01-07;22.0;29.0;;25.5;(48.844567, 2.339549)
315;Thomas joue ses perruques (Deluxe Edition);Théâtre de l'Atelier;Du 23 janvier 2024 au 1 février 2024;1 place Charles-Dullin;Paris 18e;16-39 €;2024-01-23;2024-02-01;16.0;39.0;;27.5;(48.88338, 2.342473)
316;Les Sphères ennemies;Les Enfants du Paradis;Du 19 septembre 2023 au 2 janvier 2024;34 rue Richer;Paris 9e;17-29 €;2023-09-19;2024-01-02;17.0;29.0;;23.0;(48.874091, 2.344527)
317;La Nuit, adaptation des nouvelles de Guy de Maupassant;La Scala Paris;Du 17 janvier 2024 au 28 janvier 2024;13 boulevard de Strasbourg;Paris 10e;22-25 €;2024-01-17;2024-01-28;22.0;25.0;;23.5;(48.870299, 2.354572)
318;Pour un temps sois peu;Théâtre Paris-Villette;Du 24 janvier 2024 au 3 février 2024;211 avenue Jean-Jaurès Parc de La Villette;Paris 19e;14-26 €;2024-01-24;2024-02-03;14.0;26.0;;20.0;(48.888952, 2.392454)
319;Le Projet Marivaux;Guichet-Montparnasse;Du 14 janvier 2024 au 31 mars 2024;15 rue du Maine;Paris 14e;24 €;2024-01-14;2024-03-31;;;24.0;24.0;(48.840563, 2.322325)
320;Marcus;Comédie Bastille;Du 16 septembre 2023 au 30 décembre 2023;5 rue Nicolas-Appert;Paris 11e;13-43 €;2023-09-16;2023-12-30;13.0;43.0;;28.0;(48.858841, 2.370225)
321;Le Misanthrope;Théâtre Montmartre Galabru;Du 24 février 2024 au 27 avril 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2024-02-24;2024-04-27;15.0;22.0;;18.5;(48.887245, 2.334537)
322;Inadaptés;Comédie Nation;Du 5 janvier 2024 au 9 février 2024;77 rue de Montreuil;Paris 11e;16-22 €;2024-01-05;2024-02-09;16.0;22.0;;19.0;(48.85716, 2.431276)
323;Oh ! Les Beaux Jours;Théâtre de Nesle;Du 30 octobre 2023 au 29 janvier 2024;8 rue Nesle;Paris 6e;19 €;2023-10-30;2024-01-29;;;19.0;19.0;(48.855237, 2.339104)
324;La Belle Histoire de Coline Serreau;Théâtre Michel;Du 23 octobre 2023 au 25 mars 2024;38 rue des Mathurins;Paris 8e;12-39 €;2023-10-23;2024-03-25;12.0;39.0;;25.5;(48.873287, 2.32546)
325;Vertige (2001-2021);Théâtre Silvia Monfort;Du 10 janvier 2024 au 13 janvier 2024;106 rue Brancion;Paris 15e;11-29 €;2024-01-10;2024-01-13;11.0;29.0;;20.0;(48.830303, 2.301819)
326;Le Coup de la panne;Théâtre du Marais;Du 13 janvier 2024 au 30 mars 2024;37 rue Volta;Paris 3e;16-22 €;2024-01-13;2024-03-30;16.0;22.0;;19.0;(48.866289, 2.357796)
327;Harvey;Théâtre de Nesle;Du 5 janvier 2024 au 15 janvier 2024;8 rue Nesle;Paris 6e;16 €;2024-01-05;2024-01-15;;;16.0;16.0;(48.855237, 2.339104)
328;Le bar de l'oriental;Théâtre Montparnasse;Du 7 février 2024 au 28 avril 2024;31 rue de la Gaité;Paris 14e;14-49 €;2024-02-07;2024-04-28;14.0;49.0;;31.5;(48.839499, 2.323534)
329;Gervaise;Théâtre L'Essaïon;Du 5 février 2024 au 19 mars 2024;6 rue Pierre-au-Lard;Paris 4e;13-22 €;2024-02-05;2024-03-19;13.0;22.0;;17.5;(48.859764, 2.353086)
330;En Addicto;Théâtre de l'Aquarium - Cartoucherie;Du 8 mars 2024 au 10 mars 2024;route du Champ de Manœuvre (navette cartoucherie gratuite);Paris 12e;13-24 €;2024-03-08;2024-03-10;13.0;24.0;;18.5;(48.835062, 2.450645)
331;Être peintre;Théâtre 14;Du 30 janvier 2024 au 10 février 2024;20 avenue Marc-Sangnier;Paris 14e;11-28 €;2024-01-30;2024-02-10;11.0;28.0;;19.5;(48.825896, 2.306846)
332;Koulounisation;Théâtre de la Bastille;Du 29 avril 2024 au 12 mai 2024;76 rue de la Roquette;Paris 11e;28 €;2024-04-29;2024-05-12;;;28.0;28.0;(48.855861, 2.375555)
333;L'Art de ne pas dire;Théâtre Lepic;Du 28 janvier 2024 au 2 avril 2024;1 avenue Junot;Paris 18e;42 €;2024-01-28;2024-04-02;;;42.0;42.0;(48.887636, 2.337265)
334;George Dandin ou le mari confondu;Théâtre Darius Milhaud;Du 16 décembre 2023 au 17 février 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-12-16;2024-02-17;13.0;15.0;;14.0;(48.885938, 2.393208)
335;Amok;Théâtre Darius Milhaud;Du 16 octobre 2023 au 20 mai 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2023-10-16;2024-05-20;13.0;20.0;;16.5;(48.885938, 2.393208)
336;Petits silences gênés;Théâtre Darius Milhaud;Du 2 février 2024 au 20 avril 2024;80 allée Darius-Milhaud;Paris 19e;10-20 €;2024-02-02;2024-04-20;10.0;20.0;;15.0;(48.885938, 2.393208)
337;Huis Clos;Laurette Théâtre;Du 22 septembre 2023 au 19 mai 2024;36 rue Bichat;Paris 10e;16-24 €;2023-09-22;2024-05-19;16.0;24.0;;20.0;(48.871529, 2.368148)
338;Rohtko;Odéon - Ateliers Berthier;Du 31 janvier 2024 au 9 février 2024;1 rue André Suares (angle du bd Berthier);Paris 17e;31-40 €;2024-01-31;2024-02-09;31.0;40.0;;35.5;(48.893831, 2.311595)
339;Le Molière imaginaire;Théâtre du Soleil - Cartoucherie;Du 16 janvier 2024 au 24 janvier 2024;Route du Champ de Manœuvre;Paris 12e;16-22 €;2024-01-16;2024-01-24;16.0;22.0;;19.0;(48.835062, 2.450645)
340;Toute nue;Théâtre de la Tempête - Cartoucherie;Du 16 mai 2024 au 26 mai 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-05-16;2024-05-26;11.0;26.0;;18.5;(48.835062, 2.450645)
341;Wall Street malgré moi;Le Funambule Montmartre;Du 6 septembre 2023 au 3 janvier 2024;53 rue des Saules;Paris 18e;11-33 €;2023-09-06;2024-01-03;11.0;33.0;;22.0;(48.890751, 2.340416)
342;Lights on Chaplin;Théâtre Montmartre Galabru;Du 23 septembre 2023 au 13 janvier 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2023-09-23;2024-01-13;15.0;22.0;;18.5;(48.887245, 2.334537)
343;Le Deuxième Coup de feu;Théâtre Darius Milhaud;Du 7 janvier 2024 au 18 février 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-07;2024-02-18;13.0;20.0;;16.5;(48.885938, 2.393208)
344;Un état de nos vies;Théâtre du Rond-Point;Du 21 mai 2024 au 31 mai 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-05-21;2024-05-31;;;34.0;34.0;(48.867784, 2.310549)
345;Diari d'amore;Athénée Théâtre Louis-Jouvet;Du 6 juin 2024 au 16 juin 2024;7 rue Boudreau Square de l'Opéra Louis-Jouvet;Paris 9e;15-40 €;2024-06-06;2024-06-16;15.0;40.0;;27.5;(48.87183, 2.329072)
346;Fragments;La Scala Paris;Du 24 janvier 2024 au 2 février 2024;13 boulevard de Strasbourg;Paris 10e;17-25 €;2024-01-24;2024-02-02;17.0;25.0;;21.0;(48.870299, 2.354572)
347;Finlandia;Théâtre des Bouffes du Nord;Du 1 mars 2024 au 10 mars 2024;37 bis bd de la Chapelle;Paris 10e;35 €;2024-03-01;2024-03-10;;;35.0;35.0;(48.884177, 2.358623)
348;Dieu ne fait rien pour les faibles;Théâtre de l'Épée de Bois - Cartoucherie;Du 11 janvier 2024 au 28 janvier 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-01-11;2024-01-28;11.0;24.0;;17.5;(48.835062, 2.450645)
349;Le Journal intime d'Adam et Eve;Théâtre de l'Épée de Bois - Cartoucherie;Du 29 février 2024 au 10 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-29;2024-03-10;11.0;24.0;;17.5;(48.835062, 2.450645)
350;Showgirl;Théâtre de la Bastille;Du 26 février 2024 au 9 mars 2024;76 rue de la Roquette;Paris 11e;28 €;2024-02-26;2024-03-09;;;28.0;28.0;(48.855861, 2.375555)
351;Le Jeu de l'amour et du hasard;Théâtre Montmartre Galabru;Du 17 janvier 2024 au 3 avril 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2024-01-17;2024-04-03;15.0;22.0;;18.5;(48.887245, 2.334537)
352;Les parents viennent de Mars, les enfants du McDo ! Chez Maman;Théâtre des Blancs Manteaux;Du 23 octobre 2022 au 30 mars 2024;15 rue des Blancs Manteaux;Paris 4e;21-74 €;2022-10-23;2024-03-30;21.0;74.0;;47.5;(48.85874, 2.357432)
353;La Métamorphose des cigognes;La Pépinière Théâtre;Du 27 janvier 2024 au 27 avril 2024;7 rue Louis-Le-Grand;Paris 2e;11-32 €;2024-01-27;2024-04-27;11.0;32.0;;21.5;(48.868598, 2.332236)
354;Le Mariage de Figaro;Théâtre Ranelagh;Du 24 octobre 2023 au 14 avril 2024;5 rue des Vignes;Paris 16e;13-44 €;2023-10-24;2024-04-14;13.0;44.0;;28.5;(48.854572, 2.277741)
355;Leçons de philosophie drôles et très sérieuses;Théâtre de la Contrescarpe;Du 4 octobre 2023 au 14 février 2024;5 rue Blainville;Paris 5e;12-22 €;2023-10-04;2024-02-14;12.0;22.0;;17.0;(48.844462, 2.348842)
356;Les Femmes savantes;Théâtre Montmartre Galabru;Du 20 janvier 2024 au 11 février 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2024-01-20;2024-02-11;15.0;22.0;;18.5;(48.887245, 2.334537)
357;Media Vita;Théâtre de la Reine Blanche;Du 10 janvier 2024 au 4 février 2024;2 bis passage Ruelle;Paris 18e;11-28 €;2024-01-10;2024-02-04;11.0;28.0;;19.5;(48.886741, 2.358999)
358;Mémoire(s);Le Funambule Montmartre;Du 9 janvier 2024 au 27 février 2024;53 rue des Saules;Paris 18e;11-33 €;2024-01-09;2024-02-27;11.0;33.0;;22.0;(48.890751, 2.340416)
359;L'Événement;Théâtre de l'Atelier;Du 13 février 2024 au 27 mars 2024;1 place Charles-Dullin;Paris 18e;16-33 €;2024-02-13;2024-03-27;16.0;33.0;;24.5;(48.88338, 2.342473)
360;Célimène et le Cardinal;Comédie Saint-Michel;Du 5 octobre 2023 au 4 janvier 2024;95 bd Saint-Michel;Paris 5e;22-35 €;2023-10-05;2024-01-04;22.0;35.0;;28.5;(48.844567, 2.339549)
361;Hortense Belhôte : Une histoire du football féminin;Chaillot – Théâtre National de la Danse;Le 14 juin 2024;1 place du Trocadéro;Paris 16e;unknown;2024-06-14;2024-06-14;;;unknown;unknown;(48.862412, 2.282002)
362;L'Enfant brûlé;Odéon - Ateliers Berthier;Du 27 février 2024 au 17 mars 2024;1 rue André Suares (angle du bd Berthier);Paris 17e;unknown;2024-02-27;2024-03-17;;;unknown;unknown;(48.893831, 2.311595)
363;Porn For The Blind;Théâtre des Béliers Parisiens;Du 21 janvier 2024 au 11 février 2024;14 bis rue Sainte-Isaure;Paris 18e;30-40 €;2024-01-21;2024-02-11;30.0;40.0;;35.0;(48.89371, 2.344278)
364;Kevin;Théâtre du Rond-Point;Du 23 avril 2024 au 11 mai 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-04-23;2024-05-11;;;34.0;34.0;(48.867784, 2.310549)
365;PUNK.E.S;La Scala Paris;Du 27 mars 2024 au 6 avril 2024;13 boulevard de Strasbourg;Paris 10e;15-46 €;2024-03-27;2024-04-06;15.0;46.0;;30.5;(48.870299, 2.354572)
366;Péplum médiéval;Le Centquatre (104);Du 1 février 2024 au 3 février 2024;5 rue Curial;Paris 19e;16-24 €;2024-02-01;2024-02-03;16.0;24.0;;20.0;(48.889983, 2.371506)
367;La nuit sera blanche;Théâtre de l'Aquarium - Cartoucherie;Du 18 janvier 2024 au 27 janvier 2024;route du Champ de Manœuvre (navette cartoucherie gratuite);Paris 12e;13-24 €;2024-01-18;2024-01-27;13.0;24.0;;18.5;(48.835062, 2.450645)
368;Bartleby le scribe;Théâtre de l'Épée de Bois - Cartoucherie;Du 15 février 2024 au 25 février 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-15;2024-02-25;11.0;24.0;;17.5;(48.835062, 2.450645)
369;Orgueil, poursuite et décapitation;Théâtre Clavel;Du 13 décembre 2023 au 27 décembre 2023;3 rue Clavel;Paris 19e;unknown;2023-12-13;2023-12-27;;;unknown;unknown;(48.874366, 2.38513)
370;Antigone II, Métro Charonne le 8 février 1962;Théâtre Mélo d'Amélie;Du 24 septembre 2023 au 28 avril 2024;4 rue Marie-Stuart;Paris 2e;11-29 €;2023-09-24;2024-04-28;11.0;29.0;;20.0;(48.865018, 2.348353)
371;Un homme qui dort;Théâtre L'Essaïon;Du 23 novembre 2023 au 29 février 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2023-11-23;2024-02-29;16.0;28.0;;22.0;(48.859764, 2.353086)
372;Salomon Abramovski roi d'Angleterre !;Les Rendez-Vous d'Ailleurs;Du 30 septembre 2023 au 31 décembre 2023;109 rue des Haies;Paris 20e;unknown;2023-09-30;2023-12-31;;;unknown;unknown;(48.855943, 2.404293)
373;A l'ombre de mon tepee;La Petite Croisée des Chemins;Du 11 novembre 2023 au 30 décembre 2023;43 rue Mathurin Régnier;Paris 15e;13-18 €;2023-11-11;2023-12-30;13.0;18.0;;15.5;(48.838804, 2.308701)
374;La Trajectoire des gamètes;Le Funambule Montmartre;Du 4 octobre 2023 au 31 janvier 2024;53 rue des Saules;Paris 18e;11-33 €;2023-10-04;2024-01-31;11.0;33.0;;22.0;(48.890751, 2.340416)
375;King Kong Théorie;Théâtre Silvia Monfort;Du 4 juin 2024 au 15 juin 2024;106 rue Brancion;Paris 15e;11-29 €;2024-06-04;2024-06-15;11.0;29.0;;20.0;(48.830303, 2.301819)
376;Vous dansez mademoiselle ?;Théâtre des Blancs Manteaux;Du 11 septembre 2023 au 25 mars 2024;15 rue des Blancs Manteaux;Paris 4e;21-74 €;2023-09-11;2024-03-25;21.0;74.0;;47.5;(48.85874, 2.357432)
377;Oui;Odéon - Ateliers Berthier;Du 24 mai 2024 au 15 juin 2024;1 rue André Suares (angle du bd Berthier);Paris 17e;unknown;2024-05-24;2024-06-15;;;unknown;unknown;(48.893831, 2.311595)
378;La beauté sauvera le Monde;Théâtre L'Essaïon;Du 29 janvier 2024 au 19 mars 2024;6 rue Pierre-au-Lard;Paris 4e;13-22 €;2024-01-29;2024-03-19;13.0;22.0;;17.5;(48.859764, 2.353086)
379;La Solitude des mues;Théâtre de la Tempête - Cartoucherie;Du 13 janvier 2024 au 11 février 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-01-13;2024-02-11;11.0;26.0;;18.5;(48.835062, 2.450645)
380;Des ombres et des armes;La Manufacture des Abbesses;Du 18 janvier 2024 au 14 avril 2024;7 rue Véron;Paris 18e;11-29 €;2024-01-18;2024-04-14;11.0;29.0;;20.0;(48.884393, 2.336711)
